variant,benchmark_cells,mean_absolute_coefficient_difference,median_absolute_coefficient_difference,mean_absolute_t_stat_difference,sign_match_share
log_contemporaneous,5,0.019737911710009402,0.01733297688231783,0.054074670735043365,1.0
log_lagged,5,0.144911239515102,0.11535850339433927,0.2965023334450055,1.0
simple_lagged,5,1.0786850720166878,0.5469420561314176,1.1499621352627831,0.8
simple_contemporaneous,5,1.2363162800969278,1.017315641368692,1.4443423766454822,0.8
