bucket_start,year,funding_pre,d_oi_event,basket4,basket5,fwd_avax,fwd_ada,fwd_xrp,fwd_sol,fwd_doge
2023-01-15 23:00:00+00:00,2023,0.00029155,-0.000216014101226,-0.003332231639035975,-0.00261936005588986,-0.0035629453681709,-0.0014273479874393,-0.000519345624513,-0.0078192875760207,0.0002321262766946
2023-01-15 23:15:00+00:00,2023,0.00029155,0.002892701043752,-0.000425511510840475,-0.00172481160830318,-0.0011890606420926,0.002,-0.002076304178562,-0.0004366812227073,-0.006922011998154
2023-01-23 20:30:00+00:00,2023,0.00024277,-0.0011156712980154,-0.00018172478748425003,0.00030792932685756,0.000564015792442,-0.0015970188980569,-0.0009330534173082,0.0012391573729861,0.0022665457842248
2023-01-23 20:45:00+00:00,2023,0.00024277,0.0001846556598092,0.0004313139238995,0.0006842258140772001,0.0005627462014632,0.000532056397978,0.0018634987188446,-0.0012330456226878,0.001695873374788
2023-02-03 20:15:00+00:00,2023,0.00026226,0.0016547150497117,-0.0005851813365644,-9.586870880037997e-05,-0.0028208744710859,-0.000248508946322,0.0019526482792286,-0.0012239902080783,0.0018613818022557
2023-02-03 21:15:00+00:00,2023,0.00026226,0.0017968206721101,-0.000561254009952725,-0.0007520335109924799,-0.0009429514380009,0.0,-0.0004867364322218,-0.0008153281695882,-0.0015151515151515
2023-02-04 17:00:00+00:00,2023,0.00013731,0.0097260267696162,0.001148104056648875,0.00447025393801826,-0.0009420631182288,0.0017356806347632,0.0033922946450206,0.0004065040650405,0.0177588534634958
2023-02-04 21:30:00+00:00,2023,0.00013731,0.00161499862696,0.00012110862943074996,5.555177902255997e-05,-0.0018788163457021,0.0004965243296921,0.0002413709872073,0.0016253555465257,-0.0002066756226102
2023-02-16 17:30:00+00:00,2023,0.00015425,0.0076748260472883,0.0014201570992163999,0.0015358591903657597,0.0049950049950051,0.0024467824810374,-0.0005001250312577,-0.0012610340479192,0.0019986675549632
2023-02-16 18:30:00+00:00,2023,0.00015425,0.0015243259511472,-0.006954416130699875,-0.00647434041316812,-0.0133004926108374,-0.0065869724323005,-0.0024931438544003,-0.0054370556252613,-0.0045540375430411
2023-02-16 20:30:00+00:00,2023,0.00015425,0.0031649937661664,-0.005674872192260525,-0.00549390116096344,-0.0076026355803345,-0.0054821829055569,-0.0040424456796361,-0.0055722246035146,-0.0047700170357751
2023-02-19 17:15:00+00:00,2023,0.00011716,-0.0006071152942785,-0.00966794998766125,-0.00942578856155754,-0.0126008064516128,-0.0089042790007419,-0.0046059365404298,-0.0125607779578605,-0.0084571428571427
2023-04-17 21:45:00+00:00,2023,0.00029736,0.0020944499185668,0.0024883986078757,0.00225224225995206,0.0029197080291969,0.0032310177705976,0.0013687915526008,0.0024340770791075,0.0013076168682575
2023-04-18 21:45:00+00:00,2023,0.00016293,-0.0001515297607665,-0.0003297474874269333,-0.000835231513485725,,0.0004528985507246,0.00057317539167,-0.0020153164046754,-0.0023516835916621
2023-10-29 22:15:00+00:00,2023,0.00012121,0.0013807165911057,0.0018188002091504998,0.00147165787950735,-0.0008802816901408,,0.0005386963548215,0.0057979859627708,0.0004302308905779
2023-11-04 23:00:00+00:00,2023,0.000188,0.0073969432388787,-0.002264944277545675,-0.0020145310261459196,-0.0040749796251018,-0.0012165450121652,0.0,-0.0037682524729157,-0.0010128780205469
2023-11-05 17:00:00+00:00,2023,0.0001587,0.0065755847137018,-0.0023013658937848496,-0.0013050509601964196,-0.0024057738572574,-0.0011448196908987,-0.0010721396844846,-0.0045827303424987,0.0026802087741573
2023-11-06 23:30:00+00:00,2023,0.00019251,0.0072271591469412,-0.001468008093289575,-0.00183091907967368,-0.0038284839203676,0.0038652678078408,-0.0085410249229908,0.0026322086623593,-0.0032825630252101
2023-11-06 23:45:00+00:00,2023,0.00019251,0.0086005881789987,-0.004098561406683674,-0.005400100925792099,-0.0091743119266054,0.0030353200883002,-0.0104924454392836,0.0002371916508541,-0.0106062590022258
2023-11-09 23:30:00+00:00,2023,0.00027145,-0.0004283008061272,0.006839869394354875,0.0075207959389233,0.0053846153846153,0.0089747076420994,-0.0044970769000149,0.0174972314507197,0.010244502117197
2023-11-11 17:30:00+00:00,2023,0.00037359,0.0079180736777801,-0.0003670007393820751,0.0022601288648786398,-0.0032071840923669,-0.0007706139224248,0.0026785714285713,-0.0001687763713079,0.0127686472819215
2023-11-11 18:00:00+00:00,2023,0.00037359,0.0047303150927524,0.0039818692808518755,0.0024614909308605204,0.0186615186615186,0.003598971722365,-0.0005936479667556,-0.0057393652937205,-0.0036200224691049
2023-11-11 18:45:00+00:00,2023,0.00037359,-0.0007604690326122,0.0058910491220007,0.00586327070938,0.0095057034220531,0.0069195284469503,-0.0008883624518803,0.0080273270708797,0.0057521570588972
