n_event,n_control,event_mean,control_mean,delta,t_stat,win_rate,target,vol_regime,tox_bucket
1485,18425,0.00043055779975604235,-9.458831871882393e-06,0.00044001663162792476,2.069396980589467,0.49764309764309766,AVAXUSDT,low,ALL
479,18425,0.0008899174892782235,-9.458831871882393e-06,0.0008993763211501059,2.2042381879272734,0.5156576200417536,AVAXUSDT,low,low
475,18425,0.00011224206652385599,-9.458831871882393e-06,0.00012170089839573838,0.3447429106391499,0.47789473684210526,AVAXUSDT,low,mid
531,18425,0.0003009281990105881,-9.458831871882393e-06,0.00031038703088247054,0.9610594813000177,0.4990583804143126,AVAXUSDT,low,high
2434,24081,0.000655377870412756,-5.258966094091645e-06,0.0006606368365068477,2.763144825910742,0.5012325390304027,AVAXUSDT,high,ALL
828,24081,0.0006166421985344027,-5.258966094091645e-06,0.0006219011646284943,1.5348948945816745,0.5229468599033816,AVAXUSDT,high,low
831,24081,0.000967028282639759,-5.258966094091645e-06,0.0009722872487338506,2.2224257370290292,0.49217809867629364,AVAXUSDT,high,mid
775,24081,0.0003625928946122874,-5.258966094091645e-06,0.0003678518607063791,1.035999493879788,0.48774193548387096,AVAXUSDT,high,high
1706,22931,0.0003347013620159303,-6.673553223940444e-05,0.00040143689425533474,2.2636142651353914,0.4988276670574443,ADAUSDT,low,ALL
538,22931,0.000758959809786755,-6.673553223940444e-05,0.0008256953420261594,2.48725202800292,0.5427509293680297,ADAUSDT,low,low
550,22931,0.00034051053530122124,-6.673553223940444e-05,0.00040724606754062565,1.2142300417636658,0.48,ADAUSDT,low,mid
618,22931,-3.9806874565968945e-05,-6.673553223940444e-05,2.692865767343549e-05,0.11060852484000568,0.4773462783171521,ADAUSDT,low,high
2524,26243,0.0005727098954364582,-1.662836583864801e-05,0.0005893382612751062,2.4786427499523622,0.5043581616481775,ADAUSDT,high,ALL
872,26243,0.000337108909028961,-1.662836583864801e-05,0.00035373727486760905,1.008563225433438,0.5,ADAUSDT,high,low
860,26243,0.000968812641678184,-1.662836583864801e-05,0.000985441007516832,1.921589738238724,0.49883720930232556,ADAUSDT,high,mid
792,26243,0.0004019973933903135,-1.662836583864801e-05,0.00041862575922896154,1.3579613071475571,0.5151515151515151,ADAUSDT,high,high
