leader,flush_cut,all_delta,all_t,all_n,cell_delta,cell_t,cell_n,cell_win,crowded_share_90d,crowded_range
SOLUSDT,-0.0019342565488698802,0.00022773594636873903,1.9929362199160652,4313,-2.9906827765621948e-05,-0.04400748848120894,179,0.5139664804469274,0.0,2023-01-14 ~ 2025-08-14
ADAUSDT,-0.0013986737521111496,0.000172417198204666,1.3595769501958341,3863,0.0003153946238184229,0.35034287660053154,173,0.5260115606936416,0.0,2021-12-01 ~ 2025-08-14
XRPUSDT,-0.0014380447479116487,2.5404456306672266e-05,0.1932160905665965,3655,-0.0002562813191731104,-0.32431629418903646,161,0.5341614906832298,0.0,2023-07-14 ~ 2025-10-11
AVAXUSDT,-0.0012400263062302872,0.0001905127769113124,1.3991678948696054,3962,-0.00044512412769745285,-0.5306356560137586,226,0.5575221238938053,0.0,2021-12-03 ~ 2024-12-09
DOGEUSDT,-0.0011507069084514638,0.0003744449369163339,2.8304785851888288,3914,0.0016978737367102771,3.037932894597911,242,0.5785123966942148,0.0,2023-01-14 ~ 2025-10-11
