n_event,n_control,delta,t_stat,win_rate,target,window
243,36884,0.001558836367322834,2.253100399794925,0.5349794238683128,AVAXUSDT,full
75,17606,0.0024016911216393467,1.794158886184855,0.52,AVAXUSDT,h1
168,19278,0.0011899975946144314,1.4805532700389574,0.5416666666666666,AVAXUSDT,h2
242,42945,0.0016497408742362695,2.3753969852487313,0.5743801652892562,ADAUSDT,full
76,20810,0.001439687191244887,1.7747625708035033,0.618421052631579,ADAUSDT,h1
166,22135,0.0017548053593227407,1.8596518084848603,0.5542168674698795,ADAUSDT,h2
242,47461,0.0013163691193276831,1.9291734592925238,0.5909090909090909,XRPUSDT,full
77,23770,0.0004812575814026593,1.078124146536667,0.5714285714285714,XRPUSDT,h1
165,23691,0.001764676189254456,1.8024545051217151,0.6,XRPUSDT,h2
242,46496,0.0017190496211867533,2.803513843561922,0.5371900826446281,SOLUSDT,full
77,22788,0.0026485159206841554,2.487915631345977,0.5194805194805194,SOLUSDT,h1
165,23708,0.0012758431068867488,1.7025187449714538,0.5454545454545454,SOLUSDT,h2
241,47644,0.000615689606577246,1.8111524242212946,0.5643153526970954,ETHUSDT,full
77,23936,0.000789906027286964,1.8088249048389882,0.5974025974025974,ETHUSDT,h1
164,23708,0.000539218809351681,1.1814999634639873,0.5487804878048781,ETHUSDT,h2
241,47644,0.0004666956827911817,1.677953014513016,0.5311203319502075,BTCUSDT,full
77,23936,0.0003007663542515628,0.8257902745038771,0.4935064935064935,BTCUSDT,h1
164,23708,0.0005489559670360299,1.476414924210925,0.5487804878048781,BTCUSDT,h2
