dgp,scenario,frequency,observations,assets,weighting,model,repetitions,raw_false_positive_rate,raw_wilson_ci_lower,raw_wilson_ci_upper,bh_false_positive_rate,bh_wilson_ci_lower,bh_wilson_ci_upper,fpr_classification
independent_gaussian,n62_daily_current,daily,2291,62,contemporaneous_evolving_size,no_intercept_csad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
independent_gaussian,n62_daily_current,daily,2291,62,contemporaneous_evolving_size,scsad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
independent_gaussian,n62_daily_current,daily,2291,62,contemporaneous_evolving_size,intercept_restored,300,0.0,8.673617379884035e-19,0.012642971224546034,,,,diagnostic_only
independent_gaussian,n62_weekly_current,weekly,328,62,contemporaneous_evolving_size,standard_csad,300,0.006666666666666667,0.0018301483579117855,0.023977583250306973,0.006666666666666667,0.0018301483579117855,0.023977583250306973,within_preregistered_tolerance
independent_gaussian,n62_weekly_current,weekly,328,62,contemporaneous_evolving_size,no_intercept_csad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
independent_gaussian,n62_weekly_current,weekly,328,62,contemporaneous_evolving_size,scsad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
independent_gaussian,n62_weekly_current,weekly,328,62,contemporaneous_evolving_size,intercept_restored,300,0.006666666666666667,0.0018301483579117855,0.023977583250306973,,,,diagnostic_only
independent_gaussian,n62_daily_lagged,daily,2291,62,lagged_evolving_size,standard_csad,300,0.0033333333333333335,0.0005886577218511581,0.018636693694531237,0.0033333333333333335,0.0005886577218511581,0.018636693694531237,within_preregistered_tolerance
independent_gaussian,n62_daily_lagged,daily,2291,62,lagged_evolving_size,no_intercept_csad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
independent_gaussian,n62_daily_lagged,daily,2291,62,lagged_evolving_size,scsad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
independent_gaussian,n62_daily_lagged,daily,2291,62,lagged_evolving_size,intercept_restored,300,0.0033333333333333335,0.0005886577218511581,0.018636693694531237,,,,diagnostic_only
independent_gaussian,n62_weekly_lagged,weekly,328,62,lagged_evolving_size,standard_csad,300,0.006666666666666667,0.0018301483579117855,0.023977583250306973,0.006666666666666667,0.0018301483579117855,0.023977583250306973,within_preregistered_tolerance
independent_gaussian,n62_weekly_lagged,weekly,328,62,lagged_evolving_size,no_intercept_csad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
independent_gaussian,n62_weekly_lagged,weekly,328,62,lagged_evolving_size,scsad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
independent_gaussian,n62_weekly_lagged,weekly,328,62,lagged_evolving_size,intercept_restored,300,0.006666666666666667,0.0018301483579117855,0.023977583250306973,,,,diagnostic_only
independent_gaussian,n62_holdout_daily_current,daily,830,62,contemporaneous_evolving_size,standard_csad,300,0.01,0.003406618437715286,0.02898349336233983,0.01,0.003406618437715286,0.02898349336233983,within_preregistered_tolerance
independent_gaussian,n62_holdout_daily_current,daily,830,62,contemporaneous_evolving_size,no_intercept_csad,300,1.0,0.9873570287754538,0.9999999999999998,1.0,0.9873570287754538,0.9999999999999998,materially_inflated
