dgp,scenario,frequency,observations,assets,weighting,repetitions,no_intercept_raw_false_positive_rate,restored_raw_false_positive_rate,support_disappearance_rate,median_magnitude_reduction,mechanical_change_rate,mean_no_intercept_residual,mean_restored_residual
heteroskedastic_factor,n14_weekly_equal,weekly,261,14,equal,300,0.9966666666666667,0.08333333333333333,0.9133333333333333,0.8829074323946565,0.9966666666666667,0.004731391217969409,-1.412988987557292e-16
heteroskedastic_factor,n14_weekly_lagged,weekly,261,14,lagged_lognormal_liquidity,300,0.99,0.08,0.91,0.8988403149189672,0.9933333333333333,0.004813233002307078,-1.5471174522424802e-16
heteroskedastic_factor,n50_daily_equal,daily,1826,50,equal,300,0.9966666666666667,0.06666666666666667,0.93,0.9416484607062203,0.9966666666666667,0.005581039508350447,-6.866186253289434e-17
heteroskedastic_factor,n50_daily_lagged,daily,1826,50,lagged_lognormal_liquidity,300,1.0,0.07666666666666666,0.9233333333333333,0.9479118879311438,1.0,0.005518043185325225,-6.143920612216833e-17
heteroskedastic_factor,n50_weekly_equal,weekly,261,50,equal,300,1.0,0.06333333333333334,0.9366666666666666,0.9086903908063769,1.0,0.004844864993038507,-8.029208595000931e-17
heteroskedastic_factor,n50_weekly_lagged,weekly,261,50,lagged_lognormal_liquidity,300,1.0,0.08333333333333333,0.9166666666666666,0.8966066483986361,0.9966666666666667,0.004886847586875727,-1.1134616182103198e-16
heteroskedastic_factor,n62_daily_current,daily,2291,62,contemporaneous_evolving_size,300,0.9933333333333333,0.07333333333333333,0.92,0.9446235486925268,0.9933333333333333,0.005652267532175926,-9.449759871415328e-17
heteroskedastic_factor,n62_daily_lagged,daily,2291,62,lagged_evolving_size,300,1.0,0.08666666666666667,0.9133333333333333,0.9489416226462514,1.0,0.00560306795698587,-6.686016501102767e-17
heteroskedastic_factor,n62_holdout_daily_current,daily,830,62,contemporaneous_evolving_size,300,1.0,0.08,0.92,0.9400290504866111,1.0,0.005449377391602898,-1.240784583512024e-16
heteroskedastic_factor,n62_holdout_daily_lagged,daily,830,62,lagged_evolving_size,300,1.0,0.06,0.94,0.9414689753952752,1.0,0.005381378221313093,-1.1157412566366092e-16
heteroskedastic_factor,n62_holdout_weekly_current,weekly,118,62,contemporaneous_evolving_size,300,1.0,0.03,0.97,0.8979276520378263,0.9933333333333333,0.0046131538573852575,-1.0464136227322627e-16
heteroskedastic_factor,n62_holdout_weekly_lagged,weekly,118,62,lagged_evolving_size,300,1.0,0.03666666666666667,0.9633333333333334,0.8945868997829667,0.9933333333333333,0.004557298257892199,-8.670549761533862e-17
heteroskedastic_factor,n62_weekly_current,weekly,328,62,contemporaneous_evolving_size,300,0.9966666666666667,0.08333333333333333,0.9133333333333333,0.9068506350057918,0.9966666666666667,0.005098433995177699,-1.4674935555354482e-16
heteroskedastic_factor,n62_weekly_lagged,weekly,328,62,lagged_evolving_size,300,1.0,0.07333333333333333,0.9266666666666666,0.9179541155767683,0.9966666666666667,0.005045179873052699,-9.585270980281424e-17
independent_gaussian,n14_daily_equal,daily,1826,14,equal,300,1.0,0.0,1.0,0.984507726293815,1.0,0.003895349812331698,-2.4446364165472353e-18
independent_gaussian,n14_daily_lagged,daily,1826,14,lagged_lognormal_liquidity,300,1.0,0.0,1.0,0.9583174164268231,1.0,0.00406951413033756,1.8471099969012628e-18
independent_gaussian,n14_weekly_equal,weekly,261,14,equal,300,1.0,0.03333333333333333,0.9666666666666667,0.9633283575657893,1.0,0.0038284029414445285,4.484802978824841e-18
independent_gaussian,n14_weekly_lagged,weekly,261,14,lagged_lognormal_liquidity,300,1.0,0.0033333333333333335,0.9966666666666667,0.9453258116939027,1.0,0.003935251466397462,-4.892673466599209e-19
independent_gaussian,n50_daily_equal,daily,1826,50,equal,300,1.0,0.01,0.99,0.9934436861382725,1.0,0.0040375505646866134,-2.2144103009019894e-18
independent_gaussian,n50_daily_lagged,daily,1826,50,lagged_lognormal_liquidity,300,1.0,0.0,1.0,0.987316227839157,1.0,0.004116215295806112,-1.0652177489030272e-19
