term,coefficient,std_error_hc3,t_stat,p_value,ci_lower,ci_upper,model
const,-7.291079865927147,13.951554258737035,-0.5225998287152253,0.6012527597574362,-34.635623741408146,20.053464009553856,no_intercept_csad
z_mean_active_assets,-12.404545842496608,25.891630732583877,-0.4790948075312167,0.6318711835298657,-63.151209579371425,38.342117894378205,no_intercept_csad
z_mean_weight_hhi,-2.7671542748003,3.2259483092469345,-0.8577801035647297,0.3910138982475242,-9.089896776912171,3.555588227311572,no_intercept_csad
z_mean_btc_weight,0.8067893016558272,3.4381723451548827,0.234656445536468,0.8144753952768743,-5.931904667489359,7.545483270801013,no_intercept_csad
provider_binance_archive,9.747207927001186,20.382017424490215,0.47822586567359776,0.6324894545962167,-30.200812157267464,49.69522801126983,no_intercept_csad
provider_coinmarketcap,9.99689471419745,20.140662632789994,0.49635381399626904,0.6196448048085519,-29.4780786708426,49.471868099237504,no_intercept_csad
provider_okx,-0.06927816383534807,0.29059754219352213,-0.23839900128684705,0.8115716419576529,-0.6388388805305101,0.500282552859814,no_intercept_csad
frequency_weekly,-0.38411707088299885,0.1581358851564811,-2.4290316552938083,0.01513921045598954,-0.694057710453064,-0.07417643131293372,no_intercept_csad
universe_type_fixed_survivor_62,9.996894714197687,20.140662632790463,0.4963538139962692,0.6196448048085518,-29.47807867084328,49.471868099238655,no_intercept_csad
universe_type_listing_aware_survivor_14,-0.06927816383532491,0.29059754219348144,-0.23839900128680072,0.8115716419576888,-0.6388388805304073,0.5002825528597574,no_intercept_csad
universe_type_point_in_time_top50,9.747207927001622,20.382017424491096,0.4782258656735984,0.6324894545962163,-30.200812157268754,49.69522801127199,no_intercept_csad
weighting_class_equal,-9.7329045099777,17.894198490091746,-0.5439139682823424,0.5865006763135787,-44.80488908276854,25.33908006281314,no_intercept_csad
weighting_class_lagged_liquidity,-7.555070070146307,16.250183874554075,-0.4649221281721421,0.6419872233821913,-39.40484520642585,24.294705066133233,no_intercept_csad
weighting_class_lagged_size,-0.008275633928082865,0.21151078559667436,-0.03912629753011038,0.9687896946210242,-0.4228291560393378,0.4062778881831721,no_intercept_csad
const,-14.996359803988453,7.499946290041507,-1.9995289598141186,0.04555115169071404,-29.6959844184546,-0.2967351895223054,scsad
z_mean_active_assets,-27.50397214341871,13.928590512641147,-1.9746414483545178,0.04830885186936439,-54.80350790360165,-0.20443638323577318,scsad
z_mean_weight_hhi,-2.99356806179493,1.8346314097443712,-1.6316999948300457,0.10274270116057717,-6.589379549799844,0.6022434262099847,scsad
z_mean_btc_weight,0.9886370500465929,1.889705321182018,0.5231699561644862,0.6008559867834514,-2.715117320863858,4.692391420957044,scsad
provider_binance_archive,21.88114737387272,11.0153700038862,1.9864196451097962,0.04698674707695486,0.29141888987293285,43.470875857872514,scsad
provider_coinmarketcap,21.463608832310634,10.814647181830889,1.984679525039938,0.047180138229816974,0.2672898504144996,42.65992781420677,scsad
provider_okx,-0.2112973089438691,0.146839986687531,-1.4389630080360905,0.1501610038711915,-0.4990983943417709,0.07650377645403267,scsad
frequency_weekly,-0.11346397817526471,0.07259907615418357,-1.562884601097314,0.11807974026513757,-0.25575555274834516,0.028827596397815736,scsad
universe_type_fixed_survivor_62,21.46360883231114,10.814647181831145,1.984679525039938,0.047180138229816974,0.26728985041450315,42.65992781420778,scsad
universe_type_listing_aware_survivor_14,-0.21129730894381848,0.14683998668750864,-1.438963008035965,0.15016100387122708,-0.4990983943416764,0.07650377645403944,scsad
universe_type_point_in_time_top50,21.881147373873674,11.015370003886677,1.9864196451097968,0.04698674707695478,0.2914188898729506,43.4708758578744,scsad
weighting_class_equal,-19.25824296431107,9.585796033825627,-2.00903950974484,0.044532943840031196,-38.04605795375619,-0.47042797486594523,scsad
weighting_class_lagged_liquidity,-17.201725671986733,8.757104830706867,-1.9643165183621791,0.049493397254924645,-34.36533574901392,-0.03811559495954597,scsad
weighting_class_lagged_size,0.0008270255661897491,0.022343250592481555,0.03701455894998738,0.9704733973321399,-0.04296494089262732,0.04461899202500682,scsad
const,-5.859789836664488,8.262522008566023,-0.7092011168732083,0.47819968051177975,-22.05403539492344,10.334455721594464,standard_csad
z_mean_active_assets,-10.72116481360486,15.363789224271821,-0.697820352590329,0.48528954928239587,-40.83363835924221,19.391308732032485,standard_csad
z_mean_weight_hhi,-0.5013789347269421,2.628965942950491,-0.1907133624425138,0.848750169129983,-5.6540574994922865,4.651299630038403,standard_csad
z_mean_btc_weight,-0.48397259009512617,3.1049734193458676,-0.15587012342188936,0.8761353954875798,-6.569608664967209,5.601663484776957,standard_csad
provider_binance_archive,8.758835026676351,12.101284793934456,0.723793809981776,0.46919233012683303,-14.959247336097391,32.476917389450094,standard_csad
provider_coinmarketcap,8.50613927299872,11.872336820236638,0.7164671455833221,0.4737029472060039,-14.763213306993876,31.775491852991316,standard_csad
provider_okx,-0.08118062784136038,0.12509319441271746,-0.6489611862778303,0.5163634643249746,-0.32635878360135373,0.16399752791863298,standard_csad
frequency_weekly,-0.062300058146745066,0.08792906352692108,-0.7085263466688778,0.47861845683294924,-0.23463785585384483,0.11003773956035472,standard_csad
universe_type_fixed_survivor_62,8.506139272998926,11.872336820236917,0.7164671455833227,0.4737029472060035,-14.763213306994217,31.77549185299207,standard_csad
universe_type_listing_aware_survivor_14,-0.08118062784134018,0.12509319441269098,-0.6489611862778062,0.5163634643249901,-0.3263587836012816,0.16399752791860128,standard_csad
universe_type_point_in_time_top50,8.75883502667673,12.10128479393498,0.723793809981776,0.46919233012683303,-14.95924733609804,32.4769173894515,standard_csad
weighting_class_equal,-7.904222693417976,10.491565473160612,-0.753388301644636,0.4512166104688413,-28.46731316225671,12.658867775420754,standard_csad
weighting_class_lagged_liquidity,-6.461706416244725,9.718760957049343,-0.6648693639859342,0.5061340522045508,-25.510127866415466,12.586715033926014,standard_csad
weighting_class_lagged_size,-0.005198761336401897,0.026443934633860897,-0.1965956053205862,0.8441440099448376,-0.05702792082830063,0.04663039815549684,standard_csad
