dataset_id,provider,sample,universe_type,weighting_class,frequency,model,dgp,scenario,empirical_standardized_coefficient,empirical_hac_p_value,null_repetitions,null_mean,null_std,null_ci_lower,null_median,null_ci_upper,empirical_percentile_in_null,negative_tail_monte_carlo_p,negative_tail_q_value_bh_fdr,more_negative_than_null_bh
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,standard_csad,common_factor,n62_daily_current,-0.0220474391083685,0.686147070949662,300,0.13047119050991782,0.06721887141731353,-0.009388925697159805,0.13113437647869802,0.25187463621181616,0.01,0.013289036544850499,0.15946843853820597,False
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,standard_csad,fat_tail_correlated,n62_daily_current,-0.0220474391083685,0.686147070949662,300,0.18187797566745184,0.058995428179425685,0.0630888445905174,0.1808679368305026,0.3011869679502023,0.0,0.0033222591362126247,0.07973421926910298,False
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,standard_csad,heteroskedastic_factor,n62_daily_current,-0.0220474391083685,0.686147070949662,300,0.01126377390226848,0.07512294211460545,-0.11675388273860107,0.004630668188034674,0.1633856180882049,0.33666666666666667,0.3388704318936877,1.0,False
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,standard_csad,independent_gaussian,n62_daily_current,-0.0220474391083685,0.686147070949662,300,0.10439000628806501,0.07868479499169494,-0.02776021616414885,0.09755300789772395,0.2785565323921754,0.03,0.03322259136212625,0.26578073089701,False
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,no_intercept_csad,common_factor,n62_daily_current,-0.7001924503036808,0.0003757308062103293,300,-8.24346550212452,0.3272505617689454,-8.814250458521425,-8.259385168193598,-7.616801176862395,1.0,1.0,1.0,False
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,no_intercept_csad,fat_tail_correlated,n62_daily_current,-0.7001924503036808,0.0003757308062103293,300,-4.749931764401411,0.7841884265303903,-5.977436382153969,-4.828926805444317,-3.0552777977765935,1.0,1.0,1.0,False
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,no_intercept_csad,heteroskedastic_factor,n62_daily_current,-0.7001924503036808,0.0003757308062103293,300,-0.9040922504663024,0.1689228770860554,-1.2014823549458358,-0.913392533850512,-0.6063589476224994,0.8833333333333333,0.8837209302325582,1.0,False
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,no_intercept_csad,independent_gaussian,n62_daily_current,-0.7001924503036808,0.0003757308062103293,300,-8.021174511604722,0.7291418723247949,-8.83070389305442,-8.175854520491066,-5.7466264248502705,1.0,1.0,1.0,False
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,scsad,common_factor,n62_daily_current,-0.2035152921750805,3.816684486812547e-06,300,-0.5074307111929585,0.032522798919670956,-0.5653806654064456,-0.5090675171566688,-0.4390045027882974,1.0,1.0,1.0,False
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,scsad,fat_tail_correlated,n62_daily_current,-0.2035152921750805,3.816684486812547e-06,300,-0.34019839390055234,0.04645543452804051,-0.4259931023814208,-0.33590139581848943,-0.2659772761711243,0.9933333333333333,0.9933554817275747,1.0,False
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,scsad,heteroskedastic_factor,n62_daily_current,-0.2035152921750805,3.816684486812547e-06,300,-0.24512272857979758,0.04166628673087546,-0.32786534321734573,-0.2456894382352002,-0.16363933937577435,0.8666666666666667,0.867109634551495,1.0,False
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,scsad,independent_gaussian,n62_daily_current,-0.2035152921750805,3.816684486812547e-06,300,-0.46747483154923125,0.06598299471798771,-0.556741648381698,-0.4797696331396189,-0.2892918814511419,1.0,1.0,1.0,False
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,standard_csad,common_factor,n62_weekly_current,-0.071394956409973,0.6301830810793702,300,0.13394311036266346,0.1516695749049294,-0.151968780404348,0.13655268568665302,0.4372514988710657,0.09,0.09302325581395349,0.44651162790697674,False
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,standard_csad,fat_tail_correlated,n62_weekly_current,-0.071394956409973,0.6301830810793702,300,0.15684533497950828,0.13411839091731612,-0.09205791165875696,0.15981889147182415,0.414478668771869,0.04666666666666667,0.04983388704318937,0.29900332225913623,False
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,standard_csad,heteroskedastic_factor,n62_weekly_current,-0.071394956409973,0.6301830810793702,300,0.011204423125362678,0.15767970100736087,-0.2683507895943323,0.01100668964444734,0.33051506942872716,0.3233333333333333,0.32558139534883723,1.0,False
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,standard_csad,independent_gaussian,n62_weekly_current,-0.071394956409973,0.6301830810793702,300,0.16862160923979785,0.1825412748524661,-0.19492589145519562,0.16889635562008887,0.5341483522514657,0.11,0.11295681063122924,0.45182724252491696,False
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,no_intercept_csad,common_factor,n62_weekly_current,-1.1808822990779921,3.738584837083297e-09,300,-8.384524570469718,0.6851739736440033,-9.621626995713978,-8.40405679007695,-6.98785013362201,1.0,1.0,1.0,False
