dataset_id,frequency,period,market_return,lagged_realized_volatility,historical_low_threshold,historical_high_threshold,volatility_regime
cmc_fixed62_historical_current,daily,2018-03-01 00:00:00+00:00,0.040695924075348826,0.07653112754276206,,,
cmc_fixed62_historical_current,daily,2018-03-02 00:00:00+00:00,-0.004227842961045268,0.07381699977166783,,,
cmc_fixed62_historical_current,daily,2018-03-03 00:00:00+00:00,0.015129691586447128,0.07364621079019881,,,
cmc_fixed62_historical_current,daily,2018-03-04 00:00:00+00:00,0.014906072013838775,0.07007176156556072,,,
cmc_fixed62_historical_current,daily,2018-03-05 00:00:00+00:00,-0.009269409028465144,0.06872422083760105,,,
cmc_fixed62_historical_current,daily,2018-03-06 00:00:00+00:00,-0.06180267137118104,0.06815305816973355,,,
cmc_fixed62_historical_current,daily,2018-03-07 00:00:00+00:00,-0.08022211972217481,0.06516132714991235,,,
cmc_fixed62_historical_current,daily,2018-03-08 00:00:00+00:00,-0.06115188965055683,0.056793143305171954,,,
cmc_fixed62_historical_current,daily,2018-03-09 00:00:00+00:00,0.011139890069046362,0.053340816482244785,,,
cmc_fixed62_historical_current,daily,2018-03-10 00:00:00+00:00,-0.056617870713750844,0.052847404065156346,,,
cmc_fixed62_historical_current,daily,2018-03-11 00:00:00+00:00,0.06922978578902543,0.05063194302222332,,,
cmc_fixed62_historical_current,daily,2018-03-12 00:00:00+00:00,-0.04077606485721046,0.049957331267092356,,,
cmc_fixed62_historical_current,daily,2018-03-13 00:00:00+00:00,-0.003089732623920856,0.05043835034647374,,,
cmc_fixed62_historical_current,daily,2018-03-14 00:00:00+00:00,-0.11502988094462788,0.04920596113049491,,,
cmc_fixed62_historical_current,daily,2018-03-15 00:00:00+00:00,-0.003711829895649137,0.05094139970566311,,,
cmc_fixed62_historical_current,daily,2018-03-16 00:00:00+00:00,-0.002987948734034142,0.05074586675094132,,,
cmc_fixed62_historical_current,daily,2018-03-17 00:00:00+00:00,-0.06687306583703087,0.04642017743562782,,,
cmc_fixed62_historical_current,daily,2018-03-18 00:00:00+00:00,0.02098060737764835,0.04650659357048121,,,
cmc_fixed62_historical_current,daily,2018-03-19 00:00:00+00:00,0.06768349077672312,0.046676986368040664,,,
cmc_fixed62_historical_current,daily,2018-03-20 00:00:00+00:00,0.02386749435567009,0.0473910349303317,,,
cmc_fixed62_historical_current,daily,2018-03-21 00:00:00+00:00,0.00048574776075863645,0.04702233992304808,,,
cmc_fixed62_historical_current,daily,2018-03-22 00:00:00+00:00,-0.02798205358616298,0.045974396727341944,,,
cmc_fixed62_historical_current,daily,2018-03-23 00:00:00+00:00,0.00682708121399272,0.046002473682622,,,
cmc_fixed62_historical_current,daily,2018-03-24 00:00:00+00:00,-0.019375392784276524,0.04523075712562802,,,
cmc_fixed62_historical_current,daily,2018-03-25 00:00:00+00:00,-0.013054308774172884,0.04407462596167482,,,
cmc_fixed62_historical_current,daily,2018-03-26 00:00:00+00:00,-0.05118117691827576,0.042892099608048524,,,
