dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark,no_intercept_target_coefficient,no_intercept_target_standardized_coefficient,no_intercept_target_p_value,no_intercept_q_value_bh_fdr,no_intercept_supports_negative_relation,no_intercept_sse,no_intercept_residual_mean,restored_target_coefficient,restored_target_standardized_coefficient,restored_target_p_value,restored_intercept,restored_intercept_p_value,restored_sse,restored_residual_mean,absolute_standardized_reduction_fraction,restored_raw_support,support_disappears_after_restoring_intercept,material_magnitude_reduction,mechanical_change,sse_improvement_fraction
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,baseline,-1.837304396955908,-0.7001924503036808,0.0003757308062103293,0.000563596209315494,True,0.9838491723639463,0.01042506887017651,-0.04607154160434888,-0.01755775779923264,0.7490495147230684,0.02320965168220245,2.0952429611420272e-305,0.4295137326676373,-2.3067051930230228e-17,0.9749243828727121,False,True,True,True,0.5634353875242666
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,leave_one_out,-1.8510263493452768,-0.6988982389935233,0.0003579788443812626,0.000536968266571894,True,0.9992044937177388,0.010489699158476352,-0.05050605452914618,-0.019069740731360488,0.7293379243226639,0.023368903463067428,3.6533605940019e-304,0.4376053245412351,-6.590586265780065e-18,0.9727145674900789,False,True,True,True,0.5620462805235817
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline,-2.0786670231176823,-1.1808822990779921,3.738584837083297e-09,2.2431509022499783e-08,True,0.7051569856344253,0.018392680712150198,0.13902235360875914,0.07897803483047355,0.6178006718171978,0.058719157384789764,4.610069109129879e-62,0.3509160956179264,-3.723308924047781e-17,0.933119469322101,False,True,True,True,0.5023574852595278
cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out,-2.089631287299285,-1.1766415163560893,4.901188575088623e-09,2.9407131450531738e-08,True,0.7185407057861452,0.01856446058902255,0.14074812956612592,0.0792532604213685,0.6181707764782134,0.05923860994461609,3.940797209006936e-62,0.3578283343759264,-1.5570200955108904e-17,0.932644514646393,False,True,True,True,0.5020068710172355
cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,-1.8259322296175795,-0.7094793439339431,0.00037342576713548636,0.0007468515342709727,True,0.9874706616992972,0.010502120564432624,-0.0438512170524949,-0.01703871162382898,0.7523614499581481,0.023335438247322097,6.4998776686370384e-307,0.42601165840870014,1.1048924033807756e-17,0.9759842033887101,False,True,True,True,0.5685829716949824
cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out,-1.8390756186645119,-0.7081668948584487,0.0003557451120305369,0.0007114902240610738,True,1.0026308058348878,0.010567124260724786,-0.04813181485200835,-0.018533962128430805,0.7325667865317029,0.02349473294303256,9.032019657235841e-306,0.4338401979896126,-5.03986008559652e-18,0.9738282567810015,False,True,True,True,0.5672981565449158
cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,-2.0509908721656727,-1.202056983685641,8.827863968679532e-09,5.296718381207719e-08,True,0.712270617630151,0.01874765845872066,0.06070497656259666,0.0355783353362716,0.7893520721726096,0.05835899930295137,6.237140763491986e-63,0.3534075931189312,3.5202193463724476e-17,0.970402122512375,False,True,True,True,0.503829605810808
cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,leave_one_out,-2.0607341178652336,-1.198090806833238,1.16018405125441e-08,6.96110430752646e-08,True,0.7256776225464568,0.018938949228404743,0.06431524048963333,0.03739225633325383,0.7805907222262277,0.05890680399451212,1.2604100557841964e-62,0.35975000836689086,-2.7078610356711135e-17,0.9687901316661564,False,True,True,True,0.5042564395130427
cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,daily,baseline,-11.264896821928003,-1.3027853053943497,8.544920725244955e-13,1.708984145048991e-12,True,0.2986197865020723,0.007733273683012031,-0.2920889729202726,-0.03378008940548211,0.7763596433158599,0.02442776760347054,1.2677273511752594e-134,0.14182729825767357,-4.7284799904216003e-17,0.9740708701075984,False,True,True,True,0.5250572645604334
cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,daily,leave_one_out,-11.286681407984418,-1.3032797788139778,4.50983343368569e-13,9.01966686737138e-13,True,0.3010355616745296,0.007758036997029927,-0.290435020058328,-0.03353670357291027,0.7816051156380897,0.024541878243367895,3.2514136734724736e-134,0.1430062181819749,-4.313818378814614e-17,0.9742674565215539,False,True,True,True,0.524952409653884
cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,weekly,baseline,-9.516069719146024,-2.162821195803217,2.3020632632507647e-14,1.3812379579504588e-13,True,0.21531367084853098,0.016828695105118602,-0.5430508639501637,-0.12342510654241665,0.42606888396203135,0.06478493085655955,1.4484556173193367e-52,0.08666466069116559,-9.896744440911751e-17,0.9429332823342432,False,True,True,True,0.5974957820856043
cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out,-9.476947809057517,-2.1540819065690653,3.009137243330002e-14,1.8054823459980013e-13,True,0.21821893922782154,0.01698635605824474,-0.5161547342311994,-0.11732042809550554,0.44840580151137566,0.06520677941405066,2.857893337559951e-53,0.08751912166828003,-1.1766717543829123e-16,0.9455357627127704,False,True,True,True,0.5989389281335031
cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,daily,baseline,-11.316242120595296,-1.3032415910115218,2.50160352212543e-12,5.00320704425086e-12,True,0.29986337273116614,0.0077675468363869815,-0.2630340698424588,-0.0302924713008605,0.8003051739440805,0.024509398248944627,2.207162942332225e-127,0.1418497167019855,-4.166680387599232e-17,0.9767560585007506,False,True,True,True,0.5269521735515301
cmc_fixed62_holdout_lagged,coinmarketcap,temporal_holdout,fixed_survivor_62,lagged_size,daily,leave_one_out,-11.339597120030524,-1.303910527595019,1.3236297315756815e-12,3.2008529928633043e-12,True,0.3023395198430374,0.007795375127103417,-0.25956805916467957,-0.029847050242585813,0.8064605317575623,0.024628257001921516,1.4049611330779802e-126,0.14299072313598526,-5.725005476380326e-17,0.97710958719105,False,True,True,True,0.5270524898292479
