term,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,model,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark
abs_market_return,0.2423019780477379,0.022982885206896505,10.542713670041307,5.48917128933476e-26,0.19725635078140236,0.28734760531407344,intercept_restored,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,leave_one_out
market_return_sq,-0.05050605452914618,0.14596856672847427,-0.3460063742565604,0.7293379243226639,-0.3365991881918874,0.235587079133595,intercept_restored,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,daily,leave_one_out
const,0.05788134604546903,0.0035796676933537094,16.16947465624702,8.280138753100919e-59,0.05086532628987419,0.06489736580106387,standard_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline
abs_market_return,0.29845561617437977,0.06496802621559149,4.593884616164532,4.35070003023272e-06,0.1711206246451664,0.4257906077035931,standard_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline
market_return_sq,-0.1256741180913693,0.26102214644629596,-0.48146917724173316,0.6301830810793702,-0.637268124293449,0.38591988811071043,standard_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline
market_return,0.042342848310418235,0.030809942612770914,1.3743241538160755,0.16934107096941386,-0.01804352957635865,0.10272922619719513,no_intercept_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline
abs_market_return,1.1090405906591552,0.062241473470674866,17.818353724895037,5.091290010246611e-71,0.9870495443119272,1.2310316370063832,no_intercept_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline
market_return_sq,-2.0786670231176823,0.3525935565781908,-5.895363044323583,3.738584837083297e-09,-2.769737695191822,-1.3875963510435425,no_intercept_csad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline
const,0.0044277689186844275,0.0034313222296738955,1.2903972936127401,0.1969127513175668,-0.0022974990708280836,0.01115303690819694,scsad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline
market_return,0.860487770779867,0.03705594133375601,23.22131727891117,2.773555156509107e-119,0.7878594603524761,0.933116081207258,scsad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline
market_return_sq,0.09366816631008096,0.2709241234697441,0.34573579166914425,0.7295412832651589,-0.4373333582337003,0.6246696908538623,scsad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline
market_return_cu,-3.3226647594620404,0.9152277251517724,-3.630424066219194,0.00028295594228256864,-5.116478138412038,-1.5288513805120432,scsad,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline
const,0.058719157384789764,0.003532024779069335,16.62478636411545,4.610069109129879e-62,0.051796516025310824,0.0656417987442687,intercept_restored,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline
market_return,0.06763039988944597,0.028439401336308637,2.37805286720653,0.017404330424249045,0.011890197528400759,0.12337060225049118,intercept_restored,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline
abs_market_return,0.24454077712827937,0.05926681396082209,4.126099595802996,3.6896752945045716e-05,0.1283799562866324,0.36070159796992635,intercept_restored,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,baseline
