model,status,nobs,base_design_columns,interaction_coefficient,interaction_standardized_coefficient,interaction_t_stat,interaction_p_value,condition_number,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark,metric,interaction_q_value_bh_fdr,interaction_supported
standard_csad,estimated,2291,"const,abs_market_return,market_return_sq",0.12551435974748498,0.04968799060831512,1.1547790372447493,0.24818092357603783,436.39125851212856,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,active_assets,0.24818092357603783,False
no_intercept_csad,estimated,2291,"market_return,abs_market_return,market_return_sq",-0.7138869885034173,-0.28260997428118523,-3.2197738483021157,0.0012829176133823627,415.23728750106517,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,active_assets,0.005773129260220632,True
scsad,estimated,2291,"const,market_return,market_return_sq,market_return_cu",-4.990943030899284,-0.35033621455453284,-3.2741777931963916,0.0010596991358660538,2303.7178683804173,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,active_assets,0.005773129260220632,True
standard_csad,estimated,2291,"const,abs_market_return,market_return_sq",-0.19840336173151565,-0.10135849483572965,-2.1089135506983427,0.03495204433413219,333.99369347952273,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,weight_hhi,0.05242806650119828,False
no_intercept_csad,estimated,2291,"market_return,abs_market_return,market_return_sq",0.35602091538362235,0.18188070906860312,1.9122850191296599,0.05583964627227748,312.7613608856934,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,weight_hhi,0.07179383092149962,False
scsad,estimated,2291,"const,market_return,market_return_sq,market_return_cu",2.1543599989237454,0.18332407241378243,2.6661106519394777,0.007673443206214051,1548.7189429495718,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,weight_hhi,0.017265247213981615,True
standard_csad,estimated,2291,"const,abs_market_return,market_return_sq",-0.1947956806317074,-0.10475180675171047,-2.1662058627721703,0.030295459332959896,330.4962341646475,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,btc_weight,0.05242806650119828,False
no_intercept_csad,estimated,2291,"market_return,abs_market_return,market_return_sq",0.3181777881930161,0.1711008071297877,1.836619295983556,0.06626611670645645,309.921922755335,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,btc_weight,0.0745493812947635,False
scsad,estimated,2291,"const,market_return,market_return_sq,market_return_cu",1.9999779855022746,0.178994425973959,2.694974639619019,0.0070393988580498374,1527.9460010901698,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,btc_weight,0.017265247213981615,True
standard_csad,estimated,328,"const,abs_market_return,market_return_sq",0.24706249746562334,0.15901169224025208,1.5501637500080985,0.12110221804198981,113.97629720188871,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,active_assets,0.21798399247558167,False
no_intercept_csad,estimated,328,"market_return,abs_market_return,market_return_sq",0.0946661762740013,0.06092802040640527,0.5302047118325048,0.59597000452118,99.2173301789127,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,active_assets,0.6704662550863275,False
scsad,estimated,328,"const,market_return,market_return_sq,market_return_cu",0.07043602266976602,0.006878714909699357,0.17642195997063478,0.8599624536747288,254.189344704694,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,active_assets,0.8599624536747288,False
standard_csad,estimated,328,"const,abs_market_return,market_return_sq",-0.10606873417830721,-0.10198831197335483,-1.044874149803114,0.296081138617048,119.27094770297587,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,weight_hhi,0.3806757496504903,False
no_intercept_csad,estimated,328,"market_return,abs_market_return,market_return_sq",-0.2617416796615618,-0.25167258088399763,-2.218994095961476,0.026487126202114294,102.99504751427388,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,weight_hhi,0.062392020845099094,False
scsad,estimated,328,"const,market_return,market_return_sq,market_return_cu",-0.43261322683236264,-0.06653306993235802,-2.2010881073258783,0.027729787042266266,265.8451813069871,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,weight_hhi,0.062392020845099094,False
standard_csad,estimated,328,"const,abs_market_return,market_return_sq",-0.11604454518824035,-0.11804415221988253,-1.2600948319240488,0.20763515439750657,118.83147931239286,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,btc_weight,0.31145273159625986,False
no_intercept_csad,estimated,328,"market_return,abs_market_return,market_return_sq",-0.2634740230284747,-0.2680140426239514,-2.3887217120334148,0.016907103537743884,102.57006180913669,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,btc_weight,0.062392020845099094,False
scsad,estimated,328,"const,market_return,market_return_sq,market_return_cu",-0.4247000423027999,-0.07035234699849824,-2.3284768825510014,0.01988679538263871,264.2868870856253,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,btc_weight,0.062392020845099094,False
standard_csad,estimated,830,"const,abs_market_return,market_return_sq",-0.059432225800397656,-0.0074205600229188175,-0.11729433246863721,0.9066268160656326,1373.302324045462,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,daily,baseline,active_assets,0.945799322302401,False
no_intercept_csad,estimated,830,"market_return,abs_market_return,market_return_sq",-0.988448164066022,-0.12341518144768433,-1.3683971434188353,0.17118779792518135,1094.9370914779952,cmc_fixed62_holdout_current,coinmarketcap,temporal_holdout,fixed_survivor_62,contemporaneous_size,daily,baseline,active_assets,0.5668803584107561,False
