model,frequency,estimate_count,random_effect_standardized_coefficient,random_effect_std_error,ci_lower,ci_upper,q_stat,tau_squared,i_squared_percent
no_intercept_csad,daily,10,-0.6134427585244694,0.2504305860834096,-1.1042867072479523,-0.12259880980098653,291.81914012370817,0.5959232444071945,96.91589797839006
no_intercept_csad,weekly,10,-0.9690623991575676,0.14641616146448735,-1.2560380756279628,-0.6820867226871724,69.09786929579184,0.1674921292157018,86.9749963468872
scsad,daily,10,-0.1759629991029404,0.038163667184809485,-0.250763786785167,-0.1011622114207138,47.79532280158659,0.010804340000633591,81.16970558528953
scsad,weekly,10,-0.2448685140316806,0.05573243260406461,-0.35410408193564724,-0.13563294612771398,33.40984138637663,0.021097913589559782,73.06182960907475
standard_csad,daily,10,0.09266852332554984,0.09517249508534648,-0.09386956704172925,0.27920661369282895,218.3022067330755,0.07805859426952215,95.87727484083358
standard_csad,weekly,10,-0.027313744357204992,0.07010059461671786,-0.164710909805972,0.11008342109156202,29.314087455618,0.02980818896567081,69.29803797022116
