dataset_id,frequency,period,active_assets,weight_hhi,max_weight,btc_weight,market_return,csad
cmc_fixed62_historical_current,daily,2018-01-01 00:00:00+00:00,62,0.21255402358973144,0.40093899606223576,0.40093899606223576,0.0048397317034429045,0.08558845575188895
cmc_fixed62_historical_current,daily,2018-01-02 00:00:00+00:00,62,0.21218849130185527,0.40164317455726195,0.40164317455726195,0.09233625842282119,0.087811941328621
cmc_fixed62_historical_current,daily,2018-01-03 00:00:00+00:00,62,0.19745077668703606,0.3734327243525199,0.3734327243525199,0.0959194762095981,0.12508206826770718
cmc_fixed62_historical_current,daily,2018-01-04 00:00:00+00:00,62,0.19858493940489133,0.3753291331719229,0.3753291331719229,0.027041565727127306,0.11805819342808387
cmc_fixed62_historical_current,daily,2018-01-05 00:00:00+00:00,62,0.21500858861591823,0.40423104421482264,0.40423104421482264,0.04036418300129383,0.13286591583172563
cmc_fixed62_historical_current,daily,2018-01-06 00:00:00+00:00,62,0.20531642155911445,0.3925268057884261,0.3925268057884261,0.037856358125671806,0.11931369482482884
cmc_fixed62_historical_current,daily,2018-01-07 00:00:00+00:00,62,0.1917981728071592,0.36455960571513296,0.36455960571513296,0.015085287289765128,0.08101500483418454
cmc_fixed62_historical_current,daily,2018-01-08 00:00:00+00:00,62,0.19729753566279823,0.3779424329590818,0.3779424329590818,-0.11287527401413097,0.10818229742213094
cmc_fixed62_historical_current,daily,2018-01-09 00:00:00+00:00,62,0.19523768744055425,0.3700352368670884,0.3700352368670884,-0.012356141490210679,0.11076627563205547
cmc_fixed62_historical_current,daily,2018-01-10 00:00:00+00:00,62,0.19786632074570462,0.3776612422267417,0.3776612422267417,0.007528311954774619,0.08054807135448151
cmc_fixed62_historical_current,daily,2018-01-11 00:00:00+00:00,62,0.1969744551872963,0.3728842223837446,0.3728842223837446,-0.09669790425666715,0.06608117938692157
cmc_fixed62_historical_current,daily,2018-01-12 00:00:00+00:00,62,0.18996402688020758,0.3615228242549524,0.3615228242549524,0.07431234598892092,0.06324611741319786
cmc_fixed62_historical_current,daily,2018-01-13 00:00:00+00:00,62,0.18851068999505363,0.35635873779082067,0.35635873779082067,0.04271622191023344,0.07031451748343137
cmc_fixed62_historical_current,daily,2018-01-14 00:00:00+00:00,61,0.19277594107233342,0.36004411639856715,0.36004411639856715,-0.048003307571537486,0.06235373458765094
cmc_fixed62_historical_current,daily,2018-01-15 00:00:00+00:00,61,0.19943593924395395,0.37401287759669033,0.37401287759669033,-0.03350284176793786,0.06318303974515668
cmc_fixed62_historical_current,daily,2018-01-16 00:00:00+00:00,62,0.21245321391191796,0.39197096899071454,0.39197096899071454,-0.2331364369940768,0.0865543145128151
cmc_fixed62_historical_current,daily,2018-01-17 00:00:00+00:00,62,0.20359665307184194,0.3819531895934654,0.3819531895934654,0.0009688646509974194,0.07361866699922746
