dgp,scenario,frequency,observations,assets,weighting,repetitions,mean_asset_volatility,mean_pairwise_correlation,mean_excess_kurtosis,mean_squared_market_return_acf1,mean_weight_hhi,mean_max_weight
common_factor,n14_daily_equal,daily,1826,14,equal,300,0.03183723611804003,0.33506456951482844,0.3771171997789264,-0.002883795233108643,0.07142857142857141,0.07142857142857141
common_factor,n14_daily_lagged,daily,1826,14,lagged_lognormal_liquidity,300,0.03188838540494769,0.33069203418599374,0.38154289944014663,0.0019190298933300324,0.08958553692735964,0.15336771279046885
common_factor,n14_weekly_equal,weekly,261,14,equal,300,0.031830122092374465,0.33118379627474226,0.3849908148928034,0.0009125203841775329,0.07142857142857141,0.07142857142857141
common_factor,n14_weekly_lagged,weekly,261,14,lagged_lognormal_liquidity,300,0.03175974736198826,0.3319442566013732,0.38979224843919696,-0.004362326077825773,0.09469724644309001,0.16332934447239456
common_factor,n50_daily_equal,daily,1826,50,equal,300,0.03175433599903814,0.33173048774628133,0.4232642244135997,-0.0034355852180414327,0.02000000000000001,0.019999999999999997
common_factor,n50_daily_lagged,daily,1826,50,lagged_lognormal_liquidity,300,0.031887805837628715,0.33186943335244756,0.43094832759849994,-0.0003716150151227355,0.025677394905444205,0.05611398387544762
common_factor,n50_weekly_equal,weekly,261,50,equal,300,0.03166883642405827,0.33180422175288066,0.42932740912381195,-0.00615927734037033,0.02000000000000001,0.020000000000000004
common_factor,n50_weekly_lagged,weekly,261,50,lagged_lognormal_liquidity,300,0.03179625043501132,0.3357904716925284,0.4197332098090652,-0.0021515063017528233,0.027972268937144166,0.06335736074869502
common_factor,n62_daily_current,daily,2291,62,contemporaneous_evolving_size,300,0.03179735820458977,0.3321524451037924,0.4351145478841172,0.0018739191399805455,0.018827963141589278,0.03669052281226754
common_factor,n62_daily_lagged,daily,2291,62,lagged_evolving_size,300,0.031874756289302565,0.33194755776118384,0.437440724612609,0.0005195120568009219,0.018900451242728343,0.036843071127642936
common_factor,n62_holdout_daily_current,daily,830,62,contemporaneous_evolving_size,300,0.031776968787401036,0.3315556546708069,0.4404933184268261,-0.0014686274868403884,0.021567612096325864,0.046986789682575816
common_factor,n62_holdout_daily_lagged,daily,830,62,lagged_evolving_size,300,0.03179031905368177,0.3326820962792085,0.4237044056040361,0.0021523210259351056,0.02128719313490749,0.04580790200156708
common_factor,n62_holdout_weekly_current,weekly,118,62,contemporaneous_evolving_size,300,0.03181825532839958,0.3329328089851166,0.41511271914055964,-0.008644399670768266,0.03780350576436652,0.1018163392401637
common_factor,n62_holdout_weekly_lagged,weekly,118,62,lagged_evolving_size,300,0.0317317045670843,0.3322905302109064,0.44091357142817106,-0.009889963236763291,0.03933821306274827,0.10663236499532563
common_factor,n62_weekly_current,weekly,328,62,contemporaneous_evolving_size,300,0.03176259581841865,0.3313342645582368,0.41127768373131196,0.0016312740509860266,0.026653325090515833,0.06577218325512597
common_factor,n62_weekly_lagged,weekly,328,62,lagged_evolving_size,300,0.03170600160681498,0.3292482778921102,0.41113304376526594,-0.004514499251888902,0.027551766235162218,0.06889405676612595
fat_tail_correlated,n14_daily_equal,daily,1826,14,equal,300,0.03182602088124758,0.3337252668903426,4.354387774598963,0.0004560864157001591,0.07142857142857141,0.07142857142857141
fat_tail_correlated,n14_daily_lagged,daily,1826,14,lagged_lognormal_liquidity,300,0.03179325388615319,0.3303431927122735,4.126588840380589,-0.0005973979100020867,0.08951856104890424,0.1533229605334598
fat_tail_correlated,n14_weekly_equal,weekly,261,14,equal,300,0.03167258068106154,0.3357150504822123,4.879770766604119,-0.0013281260352597968,0.07142857142857141,0.07142857142857141
fat_tail_correlated,n14_weekly_lagged,weekly,261,14,lagged_lognormal_liquidity,300,0.03180808683476194,0.3319759641511563,3.601516247852275,-0.008936123617796374,0.09529422136815144,0.16466002989405604
fat_tail_correlated,n50_daily_equal,daily,1826,50,equal,300,0.031792047121450846,0.3326715602202522,4.147789404549338,-0.0007050818966827289,0.02000000000000001,0.019999999999999997
fat_tail_correlated,n50_daily_lagged,daily,1826,50,lagged_lognormal_liquidity,300,0.0317772713581496,0.33132232445409904,4.508187830572673,-0.000532933720103489,0.025658628725034962,0.05605246456084121
fat_tail_correlated,n50_weekly_equal,weekly,261,50,equal,300,0.03187459967656272,0.33007656276189856,4.511753774586151,0.0001197607137117018,0.02000000000000001,0.020000000000000004
fat_tail_correlated,n50_weekly_lagged,weekly,261,50,lagged_lognormal_liquidity,300,0.03181929089456735,0.3303107971566323,3.950241730585825,-0.01172411038008781,0.02773443061471319,0.06296166235241402
fat_tail_correlated,n62_daily_current,daily,2291,62,contemporaneous_evolving_size,300,0.03179058755705824,0.3347610238447903,4.101677499585127,-0.00179380548279237,0.018805411041913918,0.03648544735460916
fat_tail_correlated,n62_daily_lagged,daily,2291,62,lagged_evolving_size,300,0.03183867130359188,0.33074967641256164,10.616679691427919,0.0001722436170615065,0.018865737525524662,0.03681654439462393
fat_tail_correlated,n62_holdout_daily_current,daily,830,62,contemporaneous_evolving_size,300,0.03181105903182297,0.33312029864093134,4.403619899180683,-0.0005030174969019102,0.02158801701431598,0.04745077396244452
fat_tail_correlated,n62_holdout_daily_lagged,daily,830,62,lagged_evolving_size,300,0.03183764295170483,0.33361206093517437,4.105449447938929,0.0005799715834509658,0.021394169321439012,0.04645515739895365
fat_tail_correlated,n62_holdout_weekly_current,weekly,118,62,contemporaneous_evolving_size,300,0.031666069085985654,0.3330713716693811,3.792611547098247,-0.00843461268416539,0.03913441767269729,0.1045435155308751
fat_tail_correlated,n62_holdout_weekly_lagged,weekly,118,62,lagged_evolving_size,300,0.03175931197973781,0.33052443098810325,3.609823201214875,-0.015337561594726351,0.040213302652809466,0.10925928247362042
fat_tail_correlated,n62_weekly_current,weekly,328,62,contemporaneous_evolving_size,300,0.031765779618366886,0.33361208868078585,3.894328192705756,-0.002955358311543699,0.026806731850978968,0.06646840053418873
fat_tail_correlated,n62_weekly_lagged,weekly,328,62,lagged_evolving_size,300,0.031906260368313136,0.33681863899246733,4.004502925944107,0.0021036542646922724,0.026916449235538598,0.06702555089683573
heteroskedastic_factor,n14_daily_equal,daily,1826,14,equal,300,0.04110856478013284,0.3326816242016848,5.9797096345733145,0.216034238164516,0.07142857142857141,0.07142857142857141
heteroskedastic_factor,n14_daily_lagged,daily,1826,14,lagged_lognormal_liquidity,300,0.0411050162267899,0.33244733563121814,6.0885063552410426,0.2119227267394496,0.08968962068865717,0.15354010048454325
heteroskedastic_factor,n14_weekly_equal,weekly,261,14,equal,300,0.03969725004866133,0.3374825016700977,4.258197147365517,0.1879586027403593,0.07142857142857141,0.07142857142857141
heteroskedastic_factor,n14_weekly_lagged,weekly,261,14,lagged_lognormal_liquidity,300,0.03946809572269108,0.3278297361225859,3.955406926285373,0.17258531260712767,0.09463402989786325,0.16348641963198066
heteroskedastic_factor,n50_daily_equal,daily,1826,50,equal,300,0.04098933134294541,0.3326099319814597,6.244988220437486,0.22165948614626946,0.02000000000000001,0.019999999999999997
heteroskedastic_factor,n50_daily_lagged,daily,1826,50,lagged_lognormal_liquidity,300,0.04077502536325888,0.33164612947287936,5.798346879692545,0.21148435059224108,0.025673859532575723,0.05622694312815913
heteroskedastic_factor,n50_weekly_equal,weekly,261,50,equal,300,0.039107917043663294,0.32896893765002844,4.091512354523999,0.1764323299300426,0.02000000000000001,0.020000000000000004
heteroskedastic_factor,n50_weekly_lagged,weekly,261,50,lagged_lognormal_liquidity,300,0.039526921183297196,0.33165189683043733,4.1683050060029485,0.17347184378174607,0.027959381953521354,0.06356572218440515
heteroskedastic_factor,n62_daily_current,daily,2291,62,contemporaneous_evolving_size,300,0.040995427704869775,0.3324951272893973,6.157001660948321,0.21588255710049173,0.019750582242706358,0.042160826461851236
heteroskedastic_factor,n62_daily_lagged,daily,2291,62,lagged_evolving_size,300,0.041185635209502136,0.3329777695944163,6.093607518687111,0.21595513076132866,0.019769388019770136,0.04238541133309264
heteroskedastic_factor,n62_holdout_daily_current,daily,830,62,contemporaneous_evolving_size,300,0.040652100507213455,0.33100216731035675,5.395313261507272,0.20370812913426378,0.022247179162507798,0.05125002880394129
heteroskedastic_factor,n62_holdout_daily_lagged,daily,830,62,lagged_evolving_size,300,0.04065139706216831,0.3324124190579878,5.73794316716508,0.20171195942272768,0.022486448933803433,0.05194419947756924
