model,target_term,target_coefficient,target_standardized_coefficient,target_std_error,target_standardized_std_error,target_t_stat,target_p_value,target_ci_lower,target_ci_upper,intercept,intercept_p_value,nobs,rsquared,aic,bic,sse,rmse,residual_mean,residual_skew,residual_excess_kurtosis,jarque_bera_p_value,durbin_watson,ljung_box_lag,ljung_box_p_value,breusch_pagan_p_value,target_vif,max_vif,condition_number_standardized,design_rank,design_columns,cov_type,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark,q_value_bh_fdr,supports_negative_relation
no_intercept_csad,market_return_sq,-2.089631287299285,-1.1766415163560893,0.3571718452020571,0.20111836192949342,-5.850492740034286,4.901188575088623e-09,-2.7896752401870324,-1.3895873344115377,,,328,0.720380196623019,-1071.6995839294996,-1060.320543104347,0.7185407057861452,0.04680462459516522,0.01856446058902255,0.39282905979714206,0.8902174118767072,9.950176425484875e-05,1.4928489602751625,5,0.006709507052781011,7.755751849380496e-06,5.344839147268276,5.344839147268276,4.955116672183599,3,3,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out,2.9407131450531738e-08,True
scsad,market_return_cu,-3.3335684195319883,-0.30556923601267477,0.9215008420159048,0.08446873525378815,-3.6175424563252347,0.000297413556035432,-5.139676881606496,-1.5274599574574808,0.004522092976720905,0.19194921602673742,328,0.6898003119033403,-1041.7796697482154,-1026.6076153146787,0.7823827315379447,0.048839668364029344,-1.0831444142684454e-17,0.2511101476619934,0.5549323381457554,0.026922903345832656,2.0837826865388585,5,0.5376128723198443,0.36918023952626605,3.416441321952132,3.416441321952132,3.4449560946442337,4,4,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out,0.000536968266571894,True
intercept_restored,market_return_sq,0.14074812956612592,0.0792532604213685,0.28237472546140635,0.15900117267910954,0.4984445025529125,0.6181707764782134,-0.41269616248261587,0.6941924216148677,0.05923860994461609,3.940797209006936e-62,328,0.27686432542388406,-1298.3710156920379,-1283.1989612585012,0.3578283343759264,0.033029381523562384,-1.5570200955108904e-17,1.3142105999149845,2.6326583634659224,1.03636658842252e-40,1.1800569575253343,5,2.934244202935459e-38,7.770479395826337e-06,6.469995256789152,6.469995256789152,4.955116672183606,4,4,HAC,cmc_fixed62_historical_current,coinmarketcap,historical,fixed_survivor_62,contemporaneous_size,weekly,leave_one_out,,False
standard_csad,market_return_sq,-0.05269114788755835,-0.02047353150791405,0.1366217369849979,0.0530853767467224,-0.38567177559266597,0.6997397684742879,-0.32046483188345815,0.21508253610834144,0.023336709275861837,1.925968459664285e-306,2291,0.18290256003905225,-13172.024365970994,-13154.814134923634,0.426041998349674,0.013636837392443682,1.0855083261284813e-17,2.281666029693915,8.929639595626968,0.0,0.857108616683223,8,0.0,9.719137727783736e-10,2.364102700826093,2.364102700826094,2.7055119579497346,3,3,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,0.6997397684742879,False
no_intercept_csad,market_return_sq,-1.8259322296175795,-0.7094793439339431,0.5131638874797384,0.19939358773242574,-3.5581853559203815,0.00037342576713548636,-2.8317149672444315,-0.8201494919907275,,,2291,0.6016847579141085,-11246.189473261808,-11228.979242214447,0.9874706616992972,0.020761061554402525,0.010502120564432624,0.4211951191253088,3.013441448303211,1.6755903925410924e-202,1.1342882379571033,8,2.188900028816571e-120,3.583682720377201e-69,2.2608542341344053,2.2608542341344053,2.9009945141963227,3,3,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,0.0007468515342709727,True
scsad,market_return_cu,-2.6768405175550516,-0.19078734726398522,0.6358601653657404,0.045319873703859405,-4.209794327995621,2.5560326372067416e-05,-3.923103540875586,-1.4305774942345173,0.001123452423629327,0.039064438997831484,2291,0.5732511263564452,-11090.387582680129,-11067.440607950315,1.0560384436128571,0.021469766421489147,-5.539000074843098e-16,0.20309813665747786,1.4450536309316115,4.410174040140174e-47,2.010066239558489,8,0.0015087970073193663,1.0101708392299303e-07,4.080487055822281,4.080487055822281,3.928210551075135,4,4,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,7.668097911620225e-05,True
intercept_restored,market_return_sq,-0.0438512170524949,-0.01703871162382898,0.138977640475853,0.054000780306587066,-0.3155271373319504,0.7523614499581481,-0.31624238704152285,0.22853995293653306,0.023335438247322097,6.4998776686370384e-307,2291,0.1829607484059136,-13170.187521904305,-13147.240547174491,0.42601165840870014,0.013636351820352898,1.1048924033807756e-17,2.2810911982255275,8.93524355241366,0.0,0.8593706510245013,8,0.0,4.035847615541726e-09,2.566857792135558,2.566857792135558,2.900994514196322,4,4,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,baseline,,False
standard_csad,market_return_sq,-0.058898216607622705,-0.022679745598502915,0.13824804720810963,0.0532347279894372,-0.4260329009852932,0.6700838720974183,-0.3298594100685107,0.21206297685326533,0.02349641460407957,2.744826167362338e-305,2291,0.18548162459417672,-13130.231116550452,-13113.020885503092,0.4338853333180633,0.01376179044221706,-2.0547121887431967e-17,2.2860456901908166,8.945529292840801,0.0,0.8578749984347739,8,0.0,6.819139613716117e-10,2.364402100324136,2.364402100324136,2.7057374827717267,3,3,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out,0.6700838720974183,False
no_intercept_csad,market_return_sq,-1.8390756186645119,-0.7081668948584487,0.5150161643863633,0.19831560716369426,-3.5709085380956,0.0003557451120305369,-2.848488752317744,-0.8296624850112797,,,2291,0.6034096622393622,-11211.284155476938,-11194.073924429578,1.0026308058348878,0.020919821641442647,0.010567124260724786,0.42246907214958357,3.015407093372872,7.776924412629937e-203,1.1366487127168428,8,6.931719762022469e-120,8.366363708651547e-69,2.2611287448825625,2.2611287448825625,2.901718480768984,3,3,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out,0.0007114902240610738,True
scsad,market_return_cu,-2.7145733102233005,-0.1920720055469682,0.6398374865491884,0.04527226021224109,-4.242598108566141,2.2094689950203265e-05,-3.968631739818341,-1.46051488062826,0.001240354558307647,0.023708102690007917,2291,0.5750878528666167,-11055.99940631948,-11033.052431589667,1.0720092655216655,0.021631504433985847,-5.505077939651584e-16,0.2011704045820153,1.4531807414860936,1.6739805005741541e-47,2.012301292886991,8,0.0009613962633811941,6.971745690327378e-08,4.085433818102427,4.085433818102427,3.9318584541866466,4,4,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out,6.62840698506098e-05,True
intercept_restored,market_return_sq,-0.04813181485200835,-0.018533962128430805,0.14085444771863223,0.05423836619635042,-0.3417131345980314,0.7325667865317029,-0.3242014594428075,0.2279378297387908,0.02349473294303256,9.032019657235841e-306,2291,0.18556635563157298,-13128.469452369422,-13105.522477639608,0.4338401979896126,0.013761074632026483,-5.03986008559652e-18,2.2853711854347116,8.952477952041738,0.0,0.8606025491972548,8,0.0,2.735943358052852e-09,2.567250089784623,2.567250089784623,2.9017184807689835,4,4,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out,,False
standard_csad,market_return_sq,-0.23035850339433928,-0.135009887910496,0.21059620393227055,0.12342748137497449,-1.0938397705802163,0.2740252580484266,-0.6431194783824421,0.1824024715937635,0.05761248281552726,2.8079116499207883e-58,328,0.22823762209063037,-1291.418683418498,-1280.0396425933454,0.36772929440283375,0.03348321814834433,-7.852797003446229e-17,1.664517161937844,4.9573285541977965,1.6031422873972523e-103,1.09886576594514,5,3.496689898938497e-41,0.0015167956220487283,5.432909077669314,5.432909077669314,4.43630763515066,3,3,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,0.3288303096581119,False
no_intercept_csad,market_return_sq,-2.0509908721656727,-1.202056983685641,0.3565801148381944,0.2089866040369467,-5.751837488459928,8.827863968679532e-09,-2.74987505485169,-1.3521066894796552,,,328,0.7135486237522664,-1074.5743194677138,-1063.1952786425613,0.712270617630151,0.04659996524749276,0.01874765845872066,0.33976779705080384,0.6432018413172411,0.0033033435039630703,1.4928076443220344,5,0.007235051017000476,3.513215877528113e-05,5.359026525246513,5.359026525246513,4.971150856765197,3,3,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,5.296718381207719e-08,True
scsad,market_return_cu,-3.0660386864805256,-0.30005275128369047,0.9328107974858442,0.09128796953767293,-3.2868816428200214,0.0010130340144583077,-4.894314253942866,-1.237763119018185,0.004476961162758193,0.1907176437952639,328,0.6822595790296402,-1043.1433380772537,-1027.971283643717,0.7791367078527898,0.0487382477345474,-2.030895776753335e-18,-0.010962284072163963,0.43597218496335977,0.31404838286085457,2.074445677877432,5,0.4697637243499668,0.49432779323783815,4.113715124765363,4.113715124765363,3.8570768979043137,4,4,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,0.0015195510216874616,True
intercept_restored,market_return_sq,0.06070497656259666,0.0355783353362716,0.2272300374642153,0.13317633790763458,0.26715207742795277,0.7893520721726096,-0.38465771307295255,0.5060676661981458,0.05835899930295137,6.237140763491986e-63,328,0.25829492349905225,-1302.4484863301714,-1287.2764318966347,0.3534075931189312,0.032824718949948116,3.5202193463724476e-17,1.456489045813094,3.5410095897298213,2.160749386210322e-61,1.1471576768240823,5,3.173973568123575e-38,1.902623237265228e-05,6.401071239503809,6.401071239503809,4.9711508567652,4,4,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline,,False
standard_csad,market_return_sq,-0.22966312498272123,-0.13352391088445395,0.21504601785643435,0.12502566673025772,-1.0679719962824206,0.2855331439929245,-0.6511455750000898,0.19181932503464744,0.05815833931699568,3.731238861499594e-58,328,0.2300342040111717,-1285.4613379927841,-1274.0822971676316,0.3744692510572595,0.03378867481725613,-2.50477145799578e-17,1.6596101708370943,4.912587093525175,4.603521953086257e-102,1.0983170405235023,5,3.700571350530015e-41,0.0015150209248244487,5.428204893045724,5.428204893045724,4.43418086489233,3,3,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,leave_one_out,0.3426397727915094,False
no_intercept_csad,market_return_sq,-2.0607341178652336,-1.198090806833238,0.36118531004218785,0.20998963222535322,-5.70547599963169,1.16018405125441e-08,-2.7686443172928548,-1.3528239184376125,,,328,0.7140588958678905,-1068.45779187193,-1057.0787510467776,0.7256776225464568,0.047036494087636584,0.018938949228404743,0.34787547093633703,0.659997189767096,0.002466997492398186,1.4928649043111726,5,0.007841202744853734,2.753617197165333e-05,5.354618578682961,5.354618578682961,4.968464544162658,3,3,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,leave_one_out,6.96110430752646e-08,True
scsad,market_return_cu,-3.076670269803321,-0.2991064035996156,0.9404998948664121,0.09143311322642711,-3.271313783868449,0.0010704906193108835,-4.920016191205196,-1.2333243484014462,0.004574343642557193,0.18577861917216698,328,0.682870366009936,-1037.094655020369,-1021.9226005868323,0.7936381515315736,0.04918971956381732,1.3539305178355568e-18,-0.012549071357614943,0.4519488589286045,0.2867012937590902,2.077613935001683,5,0.4658084192275156,0.5147552434672529,4.108667054169301,4.108667054169301,3.854541636652234,4,4,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,leave_one_out,0.0016057359289663254,True
intercept_restored,market_return_sq,0.06431524048963333,0.03739225633325383,0.23089355957087068,0.13423927360674373,0.2785493047496301,0.7805907222262277,-0.3882278205315267,0.5168583015107934,0.05890680399451212,1.2604100557841964e-62,328,0.2602992081001442,-1296.6142442336777,-1281.442189800141,0.35975000836689086,0.03311795292581681,-2.7078610356711135e-17,1.453909132926761,3.514166091036766,9.229188304495384e-61,1.1473902500169986,5,3.7297856048166865e-38,2.1756435545381624e-05,6.393423206927782,6.393423206927782,4.968464544162658,4,4,HAC,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,leave_one_out,,False
