phase,dgp,scenario,observations,assets,weighting,model,repetitions,mean_target_coefficient,median_target_coefficient,target_coefficient_std,monte_carlo_standard_error,mean_ci_confidence,mean_ci_lower,mean_ci_upper,negative_coefficient_rate,raw_false_positive_rate,bh3_false_positive_rate,bh4_false_positive_rate,raw_wilson_ci_lower,raw_wilson_ci_upper,bh3_wilson_ci_lower,bh3_wilson_ci_upper,bh4_wilson_ci_lower,bh4_wilson_ci_upper,theoretical_target_coefficient,coefficient_bias,absolute_relative_error,theory_inside_mean_ci
finite_sample_supplement,independent_gaussian,n14_t3000_equal,3000,14,equal,standard_csad,300,0.02405062867521868,0.11890703507891587,3.0870682354059866,0.1782319676718389,0.99,-0.43799291316854816,0.4860941705189855,0.49,0.01,0.01,0.01,0.003406618437715286,0.02898349336233983,0.003406618437715286,0.02898349336233983,0.003406618437715286,0.02898349336233983,0.0,0.02405062867521868,,True
finite_sample_supplement,independent_gaussian,n14_t3000_equal,3000,14,equal,no_intercept_csad,300,-259.6169451397251,-259.72263538708137,13.133860572047697,0.7582837936770749,0.99,-261.582698726637,-257.6511915528132,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,-259.40717487154114,-0.20977026818394506,0.0008086525297067193,True
finite_sample_supplement,independent_gaussian,n14_t3000_equal,3000,14,equal,intercept_restored,300,0.02973022365986168,0.08564655582005365,3.088319514029736,0.17830421027686422,0.99,-0.43250059788200834,0.4919610452017317,0.49,0.013333333333333334,,0.01,0.005196961739358857,0.03377553025253262,,,0.003406618437715286,0.02898349336233983,0.0,0.02973022365986168,,True
finite_sample_supplement,independent_gaussian,n14_t3000_equal,3000,14,equal,scsad,300,-8706.402026353082,-8751.781434441973,877.5540663398506,50.66560764297634,0.99,-8837.746123098563,-8575.057929607601,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,-8569.363533716636,-137.03849263644588,0.015991676872764277,False
finite_sample_supplement,independent_gaussian,n14_t12000_equal,12000,14,equal,standard_csad,300,0.043730744114666466,-0.022081760198385703,1.6416630330950202,0.09478145940760672,0.99,-0.20197804638942476,0.2894395346187577,0.5066666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.01820494733885481,0.06026182580405482,0.01820494733885481,0.06026182580405482,0.01820494733885481,0.06026182580405482,0.0,0.043730744114666466,,True
finite_sample_supplement,independent_gaussian,n14_t12000_equal,12000,14,equal,no_intercept_csad,300,-259.5879139797686,-259.87120030995436,6.731004445241138,0.3886147228376538,0.99,-260.5953478610078,-258.5804800985294,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,-259.40717487154114,-0.1807391082274421,0.0006967390486286449,True
finite_sample_supplement,independent_gaussian,n14_t12000_equal,12000,14,equal,intercept_restored,300,0.04137531520679691,-0.018054754674226348,1.641874931611102,0.0947936933741368,0.99,-0.20436519028815817,0.287115820701752,0.51,0.03333333333333333,,0.03333333333333333,0.01820494733885481,0.06026182580405482,,,0.01820494733885481,0.06026182580405482,0.0,0.04137531520679691,,True
finite_sample_supplement,independent_gaussian,n14_t12000_equal,12000,14,equal,scsad,300,-8608.254754916343,-8617.505165749088,465.9936011828121,26.904153108353963,0.99,-8678.000325000485,-8538.5091848322,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,-8569.363533716636,-38.891221199706706,0.0045384025367446535,True
finite_sample_supplement,independent_gaussian,n14_t48000_equal,48000,14,equal,standard_csad,300,-0.06701346217439562,-0.037597535723165015,0.7818527032218032,0.045140286867174466,0.99,-0.18403387268994642,0.05000694834115517,0.5333333333333333,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.011347660299125234,0.04737197226827532,0.011347660299125234,0.04737197226827532,0.011347660299125234,0.04737197226827532,0.0,-0.06701346217439562,,True
finite_sample_supplement,independent_gaussian,n14_t48000_equal,48000,14,equal,no_intercept_csad,300,-259.5222320859139,-259.4343237630085,3.5195145331377864,0.20319926631239008,0.99,-260.04900015077584,-258.995464021052,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,-259.40717487154114,-0.11505721437276861,0.0004435390595103822,True
finite_sample_supplement,independent_gaussian,n14_t48000_equal,48000,14,equal,intercept_restored,300,-0.06738301137511049,-0.03904926294988903,0.7816574628920275,0.0451290146614792,0.99,-0.18437420014154485,0.049608177391323866,0.5266666666666666,0.023333333333333334,,0.023333333333333334,0.011347660299125234,0.04737197226827532,,,0.011347660299125234,0.04737197226827532,0.0,-0.06738301137511049,,True
finite_sample_supplement,independent_gaussian,n14_t48000_equal,48000,14,equal,scsad,300,-8583.082473823795,-8588.02688060058,251.21166500768302,14.503712241575988,0.99,-8620.681489654216,-8545.483457993374,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,-8569.363533716636,-13.718940107159142,0.0016009287099539202,True
finite_sample_supplement,independent_gaussian,n50_t3000_equal,3000,50,equal,standard_csad,300,0.07086955408268698,-0.14163491734974265,6.038652933130965,0.34864178964858855,0.99,-0.8329396190314111,0.9746787271967852,0.5133333333333333,0.013333333333333334,0.013333333333333334,0.01,0.005196961739358857,0.03377553025253262,0.005196961739358857,0.03377553025253262,0.003406618437715286,0.02898349336233983,0.0,0.07086955408268698,,True
finite_sample_supplement,independent_gaussian,n50_t3000_equal,3000,50,equal,no_intercept_csad,300,-955.7030817788461,-955.8978295599188,50.04902122609863,2.8895815877565334,0.99,-963.1939518438155,-948.2122117138767,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,-951.7641278414769,-3.938953937369206,0.004138582052154488,True
finite_sample_supplement,independent_gaussian,n50_t3000_equal,3000,50,equal,intercept_restored,300,0.10889671618651245,-0.15594655384900946,6.064463288277658,0.35013195119777085,0.99,-0.7987755098304817,1.0165689422035067,0.5133333333333333,0.013333333333333334,,0.01,0.005196961739358857,0.03377553025253262,,,0.003406618437715286,0.02898349336233983,0.0,0.10889671618651245,,True
finite_sample_supplement,independent_gaussian,n50_t3000_equal,3000,50,equal,scsad,300,-60584.67849616335,-60740.83880786152,6363.481540392994,367.3957780329109,0.99,-61537.10498148007,-59632.252010846634,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,-59417.84542097426,-1166.8330751890899,0.019637754733819453,False
finite_sample_supplement,independent_gaussian,n50_t12000_equal,12000,50,equal,standard_csad,300,0.23397277069746855,0.1978569265252954,3.159773028783564,0.18242958087463096,0.99,-0.23895254559362514,0.7068980869885623,0.4766666666666667,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.011347660299125234,0.04737197226827532,0.011347660299125234,0.04737197226827532,0.011347660299125234,0.04737197226827532,0.0,0.23397277069746855,,True
finite_sample_supplement,independent_gaussian,n50_t12000_equal,12000,50,equal,no_intercept_csad,300,-954.6254576972872,-953.5839391179854,26.00544547827672,1.50142509472792,0.99,-958.5177098989712,-950.7332054956031,1.0,1.0,1.0,1.0,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,0.9873570287754538,0.9999999999999998,-951.7641278414769,-2.8613298558102542,0.0030063434543383307,True
finite_sample_supplement,independent_gaussian,n50_t12000_equal,12000,50,equal,intercept_restored,300,0.2303262198339193,0.18043245197924573,3.1660437542074695,0.18279162137578156,0.99,-0.24353764007326975,0.7041900797411084,0.4666666666666667,0.023333333333333334,,0.023333333333333334,0.011347660299125234,0.04737197226827532,,,0.011347660299125234,0.04737197226827532,0.0,0.2303262198339193,,True
