lag_minutes,ccf
-60,0.0036598434072419336
-59,-0.001237234045194792
-58,0.0006863750973373623
-57,-0.006933374424739549
-56,-0.0008384632082372981
-55,-0.00467995729398503
-54,0.009485352008436268
-53,-0.005575625033591539
-52,0.004574050878984456
-51,-0.004425088361574497
-50,-0.005404929776812482
-49,-0.007999822656096276
-48,-0.010057907255477729
-47,0.004771405244791772
-46,0.020379917992657506
-45,0.033463985674258484
-44,0.005403600647306206
-43,-0.019529429991757163
-42,-0.0007453700582682736
-41,-0.03757388711320251
-40,0.03073340185089941
-39,-0.006688299046426757
-38,0.002376673948969786
-37,-0.00859791025297034
-36,-0.024856955715710182
-35,0.00573142691390843
-34,0.0011962759788792367
-33,0.0004399149245458253
-32,-0.0009448830267482083
-31,-0.014666284957473926
-30,0.0039145235942544855
-29,0.011314083573569405
-28,0.016291257571076398
-27,-0.006956856756178617
-26,-0.021654689333536453
-25,0.01325877438236571
-24,-0.02923459844258901
-23,-0.020266724679406822
-22,-0.01920204295946198
-21,-0.014895901799709163
-20,0.04435141779791553
-19,0.03184293246028807
-18,0.026703152719633513
-17,-0.017510595383169857
-16,-0.006730857535292476
-15,-0.04594198942921317
-14,-0.004425385427736699
-13,0.014436624041058391
-12,0.0004609508918199744
-11,0.041374014614610405
-10,-0.03651558132785386
-9,-0.07253401341712455
-8,0.018536806346328788
-7,-0.056337594560532764
-6,0.02606452606330262
-5,0.01612128760126552
-4,-0.014902560533567474
-3,-0.012930121188793447
-2,-0.00873506694412086
-1,0.07269556266015693
0,0.6035022110806788
1,0.14231417216393671
2,0.006249166743316132
3,-0.030146246919736514
4,-0.17258358168324667
5,0.02195647982141737
6,-0.07425151756053949
7,0.10043055040467011
8,-0.007753154205480582
9,-0.009907945590437709
10,-0.013145000422651208
11,-0.006059228334347432
12,0.004722643730625042
13,0.002396542073563381
14,-0.004979831371967644
15,-0.00044302482125300444
16,-0.0068562165376274764
17,-0.0035385879405648193
18,0.008682677120653352
19,0.00943450688831772
20,0.028592637322803587
21,-0.002309209381492403
22,-0.020183325050381083
23,-0.017586890285415196
24,-0.013495349090337113
25,-0.013125297956405374
26,-0.008453607543555744
27,-0.0018170232274961225
28,-0.0010372728997368056
29,-0.001103045746465034
30,0.0016605248527951195
31,-0.008358431490142431
32,-0.003634450735261663
33,-0.0016190303280248903
34,0.0034492407871372114
35,-0.0012330696504563156
36,-0.008806628949000866
37,-0.005202599532103632
38,-0.005570718716028426
39,-0.002208032571013716
40,-0.0013582269237275056
41,-8.461121535609138e-06
42,0.0019290936083511262
43,-0.0015947246627225776
44,-0.0004917995757436957
45,0.017531695684776194
46,0.008933858863296357
47,0.012877179024206507
48,-0.004921029675763033
49,-0.0021553803747822544
50,0.0018017168959122661
51,-0.008787269128540378
52,-0.0034128520949870942
53,-0.004696553196247961
54,-0.0032978625693896
55,-0.0016242850313093618
56,-0.004395924131858426
57,-0.0007200741398639134
58,-0.0018763693057700667
59,0.0018353965075469606
60,0.002884336990388604
