lag_minutes,ccf
-60,0.0027028948768118262
-59,-0.0002816785390555118
-58,0.00017123975010182896
-57,-0.0036987923177321603
-56,-0.0012887423868736744
-55,-0.004958109489421268
-54,0.006857242117043612
-53,-0.0016630570899300384
-52,0.0019179130741643407
-51,-0.0018140030211891676
-50,-0.0013323654233016332
-49,-0.004373825193128232
-48,-0.005008141444147318
-47,0.003357732320653217
-46,0.012187253121576503
-45,0.018061388796194688
-44,0.0025849577807531762
-43,-0.012393271240896984
-42,-0.0003842092202594745
-41,-0.017349967339988476
-40,0.015370982517796023
-39,-0.0030649861335257243
-38,-0.0010646564781521023
-37,-0.0036909007833583526
-36,-0.013597288769078548
-35,0.003597980375190359
-34,-0.00060102278186222
-33,-0.0009005924079443983
-32,-0.0006211435528082991
-31,-0.006297834751647761
-30,0.002754237045045724
-29,0.004135952533334524
-28,0.007874392038389303
-27,-0.00420562372972116
-26,-0.009915328963421568
-25,0.007837563740450025
-24,-0.016528333333451297
-23,-0.012221477259812602
-22,-0.011293472712066434
-21,-0.006077269042854687
-20,0.024535553703951964
-19,0.01627849289334697
-18,0.013273524831848868
-17,-0.00935448270851482
-16,-0.003877546043531455
-15,-0.02105292924349345
-14,-0.004269592414553288
-13,0.005888617535767263
-12,0.002766456581194225
-11,0.021908136804819702
-10,-0.017480482365294366
-9,-0.037595031747046044
-8,0.007115010821984725
-7,-0.032633697871333536
-6,0.01360008163089011
-5,0.006704671680850956
-4,-0.008660170548553014
-3,-0.008321229429722118
-2,-0.0028524874530041103
-1,0.04132890612990779
0,0.6405010685854172
1,0.08450734055198515
2,0.008628948968497151
3,-0.015035077795470189
4,-0.08879928602616209
5,0.00949005060950649
6,-0.03662909988483912
7,0.04920518416633173
8,-0.006193068858724801
9,-0.006908737261865224
10,-0.00742678725203352
11,-0.003336554041741626
12,0.0034198520781295837
13,0.0005664543813666214
14,-0.0025921977703544
15,0.0012808159325897763
16,-0.0038221683711493802
17,-0.0031512559835769685
18,0.005273663847565279
19,0.005795138948988101
20,0.01725371130253116
21,-0.0004651280793764883
22,-0.012878664221959041
23,-0.010959735948603914
24,-0.007663725217826915
25,-0.00512540885674926
26,-0.004129031260963275
27,-0.0019079487833672528
28,-0.0012601490363571544
29,-0.0011081000550361587
30,0.0019228657122721238
31,-0.003803102150924413
32,-0.0013084635555954294
33,-0.0015660509618028997
34,0.002531810035090302
35,0.0004177943518831882
36,-0.005879116288456479
37,-0.0030174352445960285
38,-0.003487321776826174
39,-0.0006288706553218636
40,-0.000868800344556257
41,0.0008788948263825543
42,0.0013583638833352622
43,-0.0033112602493061993
44,0.00015857851242948007
45,0.011040159792981306
46,0.004725542424443853
47,0.0061962864200220255
48,-0.0006217695568589535
49,-0.0017510437840687972
50,0.002414634493412827
51,-0.006265774903582435
52,-0.001859445951994846
53,-0.001720112619232903
54,0.0003974513920375358
55,-0.0032013262675842816
56,-0.004102056588996868
57,-0.00034065781015376435
58,-0.0011141533351207609
59,0.0017835816354569048
60,0.003569383105416787
