offset_minutes,avax_mean_log_ret,doge_mean_log_ret,avax_cum_from_event,doge_cum_from_event,n_events_with_data
-60,2.0135899404256624e-05,-3.218556944365484e-05,0.00268488542099073,0.0027753176084156115,827
-59,5.074805521104603e-05,0.00016080933235348375,0.002735633476201776,0.0029361269407690953,827
-58,-2.3077591207235382e-05,-5.0924419364067075e-05,0.0027125558849945405,0.002885202521405028,827
-57,-5.863336042853157e-05,-7.332961406669107e-05,0.002653922524566009,0.002811872907338337,827
-56,3.464862591292758e-05,4.955189742044834e-05,0.0026885711504789364,0.0028614248047587852,827
-55,-5.592029609486337e-05,6.98809634876941e-06,0.0026326508543840733,0.0028684129011075548,827
-54,3.907418701709201e-05,3.7492955758614314e-05,0.0026717250414011653,0.002905905856866169,827
-53,-1.4401512482926282e-05,7.895855451372137e-05,0.002657323528918239,0.0029848644113798905,827
-52,4.67328694476696e-05,5.282694574177997e-05,0.0027040563983659087,0.0030376913571216703,827
-51,3.8048115778177505e-06,-6.211234577618093e-05,0.0027078612099437262,0.0029755790113454895,827
-50,-5.995829246817331e-05,-6.691387744997775e-05,0.002647902917475553,0.002908665133895512,827
-49,-0.00012112284764162173,-0.0001056927323145411,0.0025267800698339313,0.0028029724015809707,827
-48,8.059580763533008e-05,8.694480449040603e-05,0.002607375877469261,0.0028899172060713766,827
-47,4.529343748994195e-05,6.664735207725627e-05,0.0026526693149592035,0.002956564558148633,827
-46,-5.438268333741548e-05,-0.00011122538217737871,0.002598286631621788,0.002845339175971254,827
-45,1.3183702402713159e-06,-2.2512997128034977e-05,0.002599605001862059,0.0028228261788432194,827
-44,2.13242506208649e-05,4.921437295792267e-05,0.002620929252482924,0.002872040551801142,827
-43,-0.0001483056358434158,-0.0001302131620704358,0.0024726236166395083,0.002741827389730706,827
-42,-8.841509430645627e-05,-4.033944303481474e-05,0.002384208522333052,0.002701487946695891,827
-41,-2.4877471261308293e-05,-3.942054657437424e-05,0.0023593310510717437,0.0026620674001215172,827
-40,-0.0001614759883346015,-0.0001577004022021089,0.002197855062737142,0.002504366997919408,827
-39,-4.3439558461384635e-05,-1.6226194857056407e-05,0.0021544155042757577,0.0024881408030623517,827
-38,-6.513432408106913e-05,-3.455763932334157e-05,0.0020892811801946883,0.0024535831637390103,827
-37,8.070168532227733e-05,9.415346616495121e-05,0.002169982865516966,0.0025477366299039616,827
-36,1.694506071632815e-05,-6.976431403858666e-05,0.002186927926233294,0.002477972315865375,827
-35,-6.90135598053053e-05,-0.00010933534885782225,0.0021179143664279885,0.0023686369670075525,827
-34,-0.00022296003962255035,-0.00021717821362487042,0.001894954326805438,0.002151458753382682,827
-33,-4.6813153842175436e-05,-9.004820053638043e-05,0.0018481411729632628,0.002061410552846302,827
-32,2.045541531257887e-05,3.553757217646136e-05,0.0018685965882758416,0.0020969481250227634,827
-31,-3.3498877568807834e-05,-2.3567594872754876e-05,0.0018350977107070337,0.002073380530150008,827
-30,-0.00014359242502303738,-0.0001598330449828774,0.0016915052856839963,0.001913547485167131,827
-29,-0.0001240180743352904,-0.000113700115553502,0.001567487211348706,0.0017998473696136288,827
-28,-0.0002701467801844174,-0.0002735668863027544,0.0012973404311642884,0.0015262804833108745,827
-27,-0.0003935146473359906,-0.00040581564774653736,0.0009038257838282979,0.0011204648355643372,827
-26,-0.000290812962380855,-5.9861823208073284e-05,0.0006130128214474431,0.0010606030123562638,827
-25,-0.0004408391382921653,-0.0002726614600340812,0.00017217368315527786,0.0007879415523221827,827
-24,0.00032704705504810416,0.00019019227765098122,0.000499220738203382,0.000978133829973164,827
-23,0.0005152071226772167,-1.7253559701349848e-06,0.0010144278608805986,0.0009764084740030289,827
-22,-7.687038194185872e-05,0.0001455281001705095,0.0009375574789387399,0.0011219365741735384,827
-21,0.0005747028886658063,6.610997391192048e-05,0.0015122603676045463,0.0011880465480854589,827
-20,-0.0006500701130283064,-4.223197108028356e-05,0.00086219025457624,0.0011458145770051754,827
-19,-0.00019419846857442365,-0.00011619879434488684,0.0006679917860018163,0.0010296157826602886,827
-18,4.5242009893904e-05,4.4572791702319865e-05,0.0007132337958957204,0.0010741885743626085,827
-17,3.524281677373418e-05,5.279635202900066e-06,0.0007484766126694545,0.0010794682095655085,827
-16,8.2353047468914e-05,4.86475351536839e-05,0.0008308296601383686,0.0011281157447191924,827
-15,3.145085389528007e-05,6.8561396674538744e-06,0.0008622805140336488,0.0011349718843866462,827
-14,-0.0001802725047709768,-0.00031907506102222573,0.0006820080092626718,0.0008158968233644205,827
-13,-0.00010661082165058741,4.389306156509127e-05,0.0005753971876120843,0.0008597898849295117,827
-12,-6.287037887606754e-05,-6.54564806259432e-05,0.0005125268087360167,0.0007943334043035684,827
-11,1.3390835963008071e-05,2.3414281882535837e-05,0.0005259176446990245,0.0008177476861861042,827
-10,-0.00010743887144124894,-0.00013450480110281847,0.0004184787732577754,0.0006832428850832859,827
-9,-4.821714113422899e-05,-9.457041562585865e-06,0.0003702616321235464,0.0006737858435207,827
-8,-0.00021212604348260134,-0.00025837285209744863,0.00015813558864094523,0.0004154129914232512,827
-7,-1.9289321822695047e-05,7.348226408185893e-05,0.00013884626681824998,0.0004888952555051102,827
-6,-8.982071616704891e-05,-0.00019878918973085353,4.9025550651201136e-05,0.00029010606577425675,827
-5,-2.3696746927079196e-05,-8.655169132739766e-05,2.5328803724121787e-05,0.00020355437444685926,827
-4,-8.07976199025904e-05,-0.00011881079074908897,-5.5468816178468484e-05,8.474358369777021e-05,827
-3,-7.749565465544893e-05,-3.5906532955727414e-05,-0.0001329644708339176,4.883705074204287e-05,827
-2,-4.9695737840332375e-05,-0.00010349138786980335,-0.00018266020867425004,-5.4654337127760504e-05,827
-1,3.588560020945211e-05,-2.5466481906832242e-05,-0.00014677460846479777,-8.012081903459268e-05,827
0,0.00014677460846479782,8.01208190345926e-05,0.0,0.0,827
1,-4.999240192937053e-05,-7.433533942417854e-05,-4.9992401929370434e-05,-7.433533942417846e-05,827
2,-6.94106923551306e-05,-1.0615194472172673e-05,-0.00011940309428450091,-8.495053389635104e-05,827
3,-0.00022779979640904423,-0.00018201459601414533,-0.000347202890693545,-0.0002669651299104965,827
4,-0.00019851979193628096,4.158220464484639e-05,-0.0005457226826298257,-0.00022538292526565022,827
5,-0.00014290840034571027,0.0001252943287068305,-0.000688631082975536,-0.00010008859655881962,827
6,0.0006980936727580857,0.0005580327861169182,9.462589782549633e-06,0.00045794418955809844,827
7,0.0008103866879408362,0.00027531678406361504,0.0008198492777233858,0.0007332609736217135,827
