target,leader,direction,event_count,control_count,event_mean_return,control_mean_return,delta_mean_return,delta_t_stat,event_win_rate,baseline_mean_return,p_value_normal_approx,bonferroni_05,bh_fdr_05,bh_fdr_10,bh_fdr_20
BTCUSDT,ETHUSDT,up,4151,54247,-4.835076097010356e-05,3.719531969802606e-05,-8.554608066812962e-05,-1.047438813469067,0.5145748012527102,3.1114601508132454e-05,0.29489723831703696,False,False,False,False
BTCUSDT,AVAXUSDT,up,4229,54169,0.0001213558652553,2.406942245024213e-05,9.728644280507904e-05,1.020362259809857,0.5488295105225822,3.1114601508132454e-05,0.30755668573534556,False,False,False,False
DOGEUSDT,AVAXUSDT,down,4465,51771,0.0001884194655074,3.599654946078476e-05,0.0001524229160466,1.0153738642210923,0.5124300111982083,4.809855387340824e-05,0.30992764664874795,False,False,False,False
AVAXUSDT,ADAUSDT,up,3820,42606,0.0002176016608107,2.579976697644077e-05,0.0001918018938343,1.0072660406955254,0.5167539267015707,4.158151070726181e-05,0.31380694441616397,False,False,False,False
BTCUSDT,XRPUSDT,up,3841,54557,0.0001135866435593,2.530828676357583e-05,8.827835679578709e-05,0.9940336622193712,0.5298099453267379,3.1114601508132454e-05,0.3202064794397712,False,False,False,False
ETHUSDT,SOLUSDT,down,4839,53559,0.0001353671929617,3.911925616921745e-05,9.624793679250489e-05,0.9831251711528224,0.5116759661087001,4.709459378589836e-05,0.3255458372532716,False,False,False,False
XRPUSDT,ETHUSDT,down,4620,53592,0.0002301665165151,9.346558406943132e-05,0.0001367009324457,0.9737319056433656,0.5134199134199134,0.0001043148644222,0.33018967110128994,False,False,False,False
BTCUSDT,SOLUSDT,down,4839,53559,9.79621373385786e-05,2.5074996103185976e-05,7.288714123539261e-05,0.9493344456248012,0.51828890266584,3.1114601508132454e-05,0.3424505397594386,False,False,False,False
DOGEUSDT,XRPUSDT,up,3741,52495,0.0002046798961085,3.693995207701488e-05,0.0001677399440315,0.9467824475124706,0.5314087142475274,4.809855387340824e-05,0.3437496477094646,False,False,False,False
XRPUSDT,ETHUSDT,up,4149,54063,-2.08061077733238e-05,0.0001139171231507,-0.0001347232309241,-0.9209504161928426,0.517233068209207,0.0001043148644222,0.35707631491298675,False,False,False,False
DOGEUSDT,ETHUSDT,up,4093,52143,-7.552074908246923e-05,5.780213454575941e-05,-0.0001333228836282,-0.8922589770048063,0.5047642316149523,4.809855387340824e-05,0.372254137064028,False,False,False,False
ADAUSDT,AVAXUSDT,down,4428,48989,0.0001144124546492,-9.534744710961184e-06,0.0001239471993602,0.881216266021786,0.4911924119241192,7.398532403881844e-07,0.37820077690623544,False,False,False,False
SOLUSDT,ADAUSDT,up,4214,52990,0.00014373824607,2.102008266519908e-06,0.0001416362378035,0.871395913101996,0.5223065970574277,1.2535808457140236e-05,0.38353801652528574,False,False,False,False
BTCUSDT,AVAXUSDT,down,4504,53894,9.729525584944864e-05,2.5583787926782253e-05,7.17114679226664e-05,0.8389846255768113,0.4951154529307282,3.1114601508132454e-05,0.40147793714797686,False,False,False,False
ETHUSDT,BTCUSDT,up,3978,54420,-2.5537397532727063e-05,5.240385621635576e-05,-7.794125374908283e-05,-0.8252423080818596,0.5186023127199598,4.709459378589836e-05,0.4092340381247981,False,False,False,False
DOGEUSDT,ADAUSDT,up,4182,52054,0.0001729479021131,3.806820127151816e-05,0.0001348797008416,0.7940767271706531,0.5392156862745098,4.809855387340824e-05,0.42715076519280926,False,False,False,False
SOLUSDT,XRPUSDT,up,3797,53407,0.0001314899288941,4.078699926434125e-06,0.0001274112289677,0.7794247955380095,0.5101395838820121,1.2535808457140236e-05,0.43572952224836525,False,False,False,False
BTCUSDT,XRPUSDT,down,4185,54213,-2.840067432344944e-05,3.570891337715226e-05,-6.410958770060169e-05,-0.7788216470223542,0.5063321385902031,3.1114601508132454e-05,0.4360847842696862,False,False,False,False
DOGEUSDT,AVAXUSDT,up,4193,52043,0.0001721699316427,3.8102372120111006e-05,0.0001340675595226,0.7269217058464085,0.5342237061769616,4.809855387340824e-05,0.4672739194966,False,False,False,False
AVAXUSDT,ETHUSDT,up,3523,42903,-7.271323452289762e-05,5.096687740529811e-05,-0.0001236801119281,-0.7184176046645985,0.4839625319330116,4.158151070726181e-05,0.4724998351728662,False,False,False,False
ETHUSDT,AVAXUSDT,up,4229,54169,0.0001302229301426,4.060472440575861e-05,8.961820573691207e-05,0.7074701810046727,0.5488295105225822,4.709459378589836e-05,0.4792743370552528,False,False,False,False
ETHUSDT,ADAUSDT,up,4240,54158,-2.225100795455496e-05,5.252362276369521e-05,-7.477463071825017e-05,-0.6749213053627596,0.5313679245283018,4.709459378589836e-05,0.4997257636791579,False,False,False,False
ADAUSDT,BTCUSDT,up,3652,49765,-0.0001009559318648,8.202789183410479e-06,-0.0001091587210483,-0.6677384082363572,0.4980832420591456,7.398532403881844e-07,0.5043005883712377,False,False,False,False
ADAUSDT,ETHUSDT,up,3956,49461,-8.052163744053002e-05,7.23932670703286e-06,-8.776096414756288e-05,-0.645691477724329,0.5030333670374115,7.398532403881844e-07,0.5184791808805345,False,False,False,False
AVAXUSDT,XRPUSDT,up,3363,43063,0.000154620718152,3.275372688734985e-05,0.0001218669912647,0.6326024758035348,0.5060957478441868,4.158151070726181e-05,0.5269932699225142,False,False,False,False
SOLUSDT,AVAXUSDT,down,4493,52711,0.0001021480205578,4.897409091383534e-06,9.72506114664469e-05,0.6189909912629594,0.493879367905631,1.2535808457140236e-05,0.5359222936414307,False,False,False,False
DOGEUSDT,XRPUSDT,down,4104,52132,-3.6378430822336766e-05,5.474885589886933e-05,-9.112728672120607e-05,-0.6051888850797658,0.5021929824561403,4.809855387340824e-05,0.5450535002086636,False,False,False,False
ADAUSDT,SOLUSDT,up,3909,49508,8.977798889477355e-05,-6.290325160536775e-06,9.606831405531032e-05,0.5706701643498678,0.5078025070350474,7.398532403881844e-07,0.5682232468811743,False,False,False,False
SOLUSDT,XRPUSDT,down,4157,53047,-6.479084556580411e-05,1.859547065808241e-05,-8.338631622388653e-05,-0.5491463170512584,0.4926629781092134,1.2535808457140236e-05,0.5829050416306951,False,False,False,False
SOLUSDT,BTCUSDT,down,4272,52932,-5.464368352032669e-05,1.7957685388443392e-05,-7.260136890877009e-05,-0.5448610570417117,0.4691011235955056,1.2535808457140236e-05,0.585849081736141,False,False,False,False
