target,leader,direction,event_count_low,control_count_low,event_mean_return_low,control_mean_return_low,delta_mean_return_low,delta_t_stat_low,event_win_rate_low,baseline_mean_return_low,event_count_high,control_count_high,event_mean_return_high,control_mean_return_high,delta_mean_return_high,delta_t_stat_high,event_win_rate_high,baseline_mean_return_high,same_sign
ADAUSDT,AVAXUSDT,down,1804,22846,6.058346777488033e-05,-4.722548396664901e-05,0.00010780895174152935,0.5546995163333069,0.49002217294900224,-3.933553066272535e-05,2624,26143,0.0001514198831254602,2.340266220620334e-05,0.00012801722091925686,0.6493162397543731,0.4919969512195122,3.5079833537664056e-05,True
ADAUSDT,BTCUSDT,down,1868,22782,-0.00031965826572762844,-1.635059215419935e-05,-0.0003033076735734291,-2.1731535294204596,0.4609207708779443,-3.933553066272535e-05,2134,26633,0.000323649892518518,1.1957823029454587e-05,0.0003116920694890634,1.246314365951897,0.4990627928772259,3.5079833537664056e-05,False
ADAUSDT,DOGEUSDT,down,1719,22931,0.0003261731581998858,-6.673553223940444e-05,0.00039290869043929024,2.2287650575667617,0.49912739965095987,-3.933553066272535e-05,2524,26243,0.0005727098954364582,-1.662836583864801e-05,0.0005893382612751062,2.4786427499523622,0.5043581616481775,3.5079833537664056e-05,True
ADAUSDT,ETHUSDT,down,1830,22820,0.0001971200977694449,-5.829757273243925e-05,0.00025541767050188413,1.5875277193155644,0.4934426229508197,-3.933553066272535e-05,2588,26179,-0.00020958371872590375,5.926674951070022e-05,-0.00026885046823660395,-1.1161902268677566,0.49304482225656876,3.5079833537664056e-05,False
ADAUSDT,SOLUSDT,down,1945,22705,0.00028045551311689634,-6.673009486230092e-05,0.0003471856079791973,2.1699878742293963,0.5017994858611825,-3.933553066272535e-05,2695,26072,0.00014535286201053575,2.3681175523917923e-05,0.00012167168648661783,0.6483753807366994,0.49165120593692024,3.5079833537664056e-05,True
ADAUSDT,XRPUSDT,down,1584,23066,0.00014220112591771013,-5.180210761683137e-05,0.0001940032335345415,1.0350051810571892,0.5044191919191919,-3.933553066272535e-05,2454,26313,1.6762350173893313e-05,3.678815657854471e-05,-2.0025806404651393e-05,-0.10042779532782391,0.4828850855745721,3.5079833537664056e-05,False
AVAXUSDT,ADAUSDT,down,1628,18283,0.0002536511383205594,2.678476663382564e-06,0.0002509726616571768,1.2006845647315239,0.49447174447174447,2.319896750652874e-05,2360,24155,0.00038475644796207134,2.3205272485296576e-05,0.00036155117547677476,1.5465717813889648,0.49194915254237287,5.5385576996900914e-05,True
AVAXUSDT,BTCUSDT,down,1394,18517,-0.0002945525856426887,4.711999494563925e-05,-0.00034167258058832796,-1.6621099348056538,0.46269727403156385,2.319896750652874e-05,1919,24596,0.000342011317661729,3.302280271100866e-05,0.0003089885149507203,1.1884592503135614,0.49973944762897343,5.5385576996900914e-05,False
AVAXUSDT,DOGEUSDT,down,1486,18425,0.00042812491202013926,-9.458831871882393e-06,0.0004375837438920217,2.059123986081674,0.49730820995962316,2.319896750652874e-05,2434,24081,0.000655377870412756,-5.258966094091645e-06,0.0006606368365068477,2.763144825910742,0.5012325390304027,5.5385576996900914e-05,True
AVAXUSDT,ETHUSDT,down,1560,18351,0.0002236106101509061,6.162175913415075e-06,0.000217448434237491,1.0359396749564462,0.49935897435897436,2.319896750652874e-05,2417,24098,2.5822818226238098e-05,5.83506856344929e-05,-3.2527867408254804e-05,-0.13220987894747363,0.5051717004551096,5.5385576996900914e-05,False
