target,leader,direction,event_count,control_count,event_mean_return,control_mean_return,delta_mean_return,delta_t_stat,event_win_rate,baseline_mean_return
ADAUSDT,AVAXUSDT,down,2313,25163,-2.7540441762672295e-05,4.980111410267244e-05,-7.734155586534474e-05,-0.3715127559942668,0.4963251188932123,4.3290303987788806e-05
ADAUSDT,BTCUSDT,down,1713,25763,0.00010268920741171316,3.9340829098793654e-05,6.33483783129195e-05,0.22685672056127984,0.47869235259778165,4.3290303987788806e-05
ADAUSDT,DOGEUSDT,down,2303,25173,0.0007351952072890817,-2.000993802956622e-05,0.000755205145318648,3.0555222095819934,0.5245332175423361,4.3290303987788806e-05
ADAUSDT,ETHUSDT,down,2077,25399,-0.00019743168163902777,6.297531379710801e-05,-0.0002604069954361358,-0.9321019475238225,0.49590755897929706,4.3290303987788806e-05
ADAUSDT,SOLUSDT,down,2411,25065,4.777411393609975e-05,4.2859006729245915e-05,4.915107206853837e-06,0.02561549459890212,0.4968892575694733,4.3290303987788806e-05
ADAUSDT,XRPUSDT,down,2130,25346,-6.280226850931184e-05,5.220599795996682e-05,-0.00011500826646927866,-0.5436816435860586,0.4934272300469484,4.3290303987788806e-05
AVAXUSDT,ADAUSDT,down,2111,22307,0.00022189470277903954,5.0916273794095806e-05,0.00017097842898494372,0.8110347764710822,0.4964471814306016,6.569780641704676e-05
AVAXUSDT,BTCUSDT,down,1505,22913,0.0002669554737047245,5.247855144092162e-05,0.00021447692226380288,0.8791221448033582,0.48903654485049836,6.569780641704676e-05
AVAXUSDT,DOGEUSDT,down,2216,22202,0.0008351412897025603,-1.1100984636042973e-05,0.0008462422743386032,3.86330261166502,0.5166967509025271,6.569780641704676e-05
AVAXUSDT,ETHUSDT,down,1908,22510,7.408068685379576e-05,6.498725395710374e-05,9.09343289669202e-06,0.03478876401189878,0.5010482180293501,6.569780641704676e-05
AVAXUSDT,SOLUSDT,down,2288,22130,0.00012677841980275947,5.9382738932794126e-05,6.739568086996535e-05,0.3439813921582824,0.49606643356643354,6.569780641704676e-05
AVAXUSDT,XRPUSDT,down,2039,22379,0.00018677701512082493,5.4666012925514345e-05,0.00013211100219531058,0.5923753866529481,0.4982834722903384,6.569780641704676e-05
BTCUSDT,ADAUSDT,down,2239,26975,-2.339071065176621e-05,3.542208702838653e-05,-5.8812797680152744e-05,-0.5624113084363421,0.507815989280929,3.091459561995694e-05
BTCUSDT,AVAXUSDT,down,2341,26873,3.7539241712769915e-06,3.3280655675081415e-05,-2.9526731503804424e-05,-0.2847418677326763,0.49551473729175566,3.091459561995694e-05
BTCUSDT,DOGEUSDT,down,2336,26878,0.00026771632101362246,1.033386675175236e-05,0.0002573824542618701,2.494953158052845,0.5231164383561644,3.091459561995694e-05
BTCUSDT,ETHUSDT,down,2159,27055,0.00014263086983643265,2.199959151596984e-05,0.00012063127832046282,1.0902470117692362,0.5118110236220472,3.091459561995694e-05
BTCUSDT,SOLUSDT,down,2459,26755,-2.167418918263973e-05,3.574792852332398e-05,-5.742211770596371e-05,-0.5565897512306803,0.5176901179341196,3.091459561995694e-05
BTCUSDT,XRPUSDT,down,2145,27069,-5.829962882608896e-05,3.798410359722867e-05,-9.628373242331763e-05,-0.8636326540449955,0.5156177156177156,3.091459561995694e-05
DOGEUSDT,ADAUSDT,down,2239,26930,0.0002201256379144534,8.367106416409208e-05,0.00013645457375036134,0.6467963095869239,0.49933005806163466,9.414525905000036e-05
