frequency,frequency_minutes,standardized_beta2_ew12_ex_btc_eth,standardized_beta2_ew14,standardized_beta2_difference_ex_major_minus_full,broad_herding_supported_at_frequency
1m,1,0.3489411390061831,0.3852116440019442,-0.036270504995761066,False
5m,5,0.3081967101977018,0.3905883584086647,-0.0823916482109629,False
15m,15,0.2723771353953507,0.30971771853557906,-0.03734058314022837,False
1h,60,0.14669360164832101,0.21927445782511917,-0.07258085617679816,False
4h,240,0.07140391232096685,0.16733233403358674,-0.0959284217126199,False
1d,1440,0.20488156642241234,0.24748243680853124,-0.0426008703861189,False
