split,family,symbol,feature,observations,utc_day_clusters,coefficient,coefficient_bps,ci_lower,ci_upper,cluster_p_value,status
development,construct_aggressor,ADAUSDT,run_intensity_up,33090,365,-0.040983095375310585,,-0.05378106631281249,-0.02818512443780868,3.4646619202777214e-10,descriptive_no_family_decision
development,construct_aggressor,ADAUSDT,run_intensity_down,33090,365,0.049459215221997234,,0.0372467026806242,0.061671727763370265,2.0609805866506722e-15,descriptive_no_family_decision
development,construct_aggressor,ADAUSDT,run_intensity_zero,33090,365,-0.003873034054946625,,-0.0158380172486377,0.00809194913874445,0.5257968025969529,descriptive_no_family_decision
development,construct_aggressor,AVAXUSDT,run_intensity_up,32624,365,-0.09124299885686804,,-0.10877929114050669,-0.07370670657322939,2.026490461006121e-24,descriptive_no_family_decision
development,construct_aggressor,AVAXUSDT,run_intensity_down,32624,365,0.09633356434306825,,0.08060513975009273,0.11206198893604377,3.368940366442358e-33,descriptive_no_family_decision
development,construct_aggressor,AVAXUSDT,run_intensity_zero,32624,365,-0.011253605813401405,,-0.03540732782350299,0.012900116196700177,0.3611486161574219,descriptive_no_family_decision
development,construct_aggressor,BTCUSDT,run_intensity_up,34945,365,-0.018989308360566486,,-0.02666112040910102,-0.011317496312031952,1.226468983539324e-06,descriptive_no_family_decision
development,construct_aggressor,BTCUSDT,run_intensity_down,34945,365,0.021578062968570573,,0.014278176228413424,0.028877949708727722,6.891578642264746e-09,descriptive_no_family_decision
development,construct_aggressor,BTCUSDT,run_intensity_zero,34945,365,-0.009212039584165865,,-0.01875915644344916,0.00033507727511743017,0.05860102819280033,descriptive_no_family_decision
development,construct_aggressor,DOGEUSDT,run_intensity_up,34945,365,-0.05564995299755127,,-0.06384328179406651,-0.04745662420103603,1.9639027343385024e-40,descriptive_no_family_decision
development,construct_aggressor,DOGEUSDT,run_intensity_down,34945,365,0.05877694551517686,,0.05061433714269814,0.06693955388765557,3.14861464655273e-45,descriptive_no_family_decision
development,construct_aggressor,DOGEUSDT,run_intensity_zero,34945,365,-0.013984957896084517,,-0.020306038459461617,-0.007663877332707416,1.4491030477159253e-05,descriptive_no_family_decision
development,construct_aggressor,ETHUSDT,run_intensity_up,34945,365,-0.05840624091093658,,-0.06785427214164332,-0.04895820968022985,8.66980387829993e-34,descriptive_no_family_decision
development,construct_aggressor,ETHUSDT,run_intensity_down,34945,365,0.06271545035503194,,0.053166551082435266,0.07226434962762862,6.412881964538951e-38,descriptive_no_family_decision
development,construct_aggressor,ETHUSDT,run_intensity_zero,34945,365,-0.00876973536980725,,-0.017474488143749713,-6.498259586478622e-05,0.04831407246111429,descriptive_no_family_decision
