phase,dgp,scenario,observations,assets,weighting,market_mean,market_std,market_skew,market_excess_kurtosis,csad_mean,csad_std,corr_csad_market,corr_csad_abs_market,mean_weight_hhi,max_weight,repetitions
robustness,asymmetric_common_shock,n14_t1000_concentrated,1000,14,concentrated_static,3.4713662127719486e-05,0.0248646958153072,-0.43573211976231896,0.1894154002818782,0.02902510041840588,0.010839386619834473,-0.42707375365680444,0.27750524212508254,0.2257692307692309,0.4500000000000001,300
robustness,asymmetric_common_shock,n14_t1000_equal,1000,14,equal,2.453050158613132e-05,0.020497221402343512,-0.2505307391338943,0.028221313793710803,0.02707200447315571,0.009640355768955718,-0.5558774002998389,0.08053077112670722,0.07142857142857142,0.07142857142857144,300
robustness,asymmetric_common_shock,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,4.2935953873598545e-05,0.0210264262931284,-0.2949700304522828,0.07862930508827981,0.027290277147276505,0.009743659903650616,-0.5355765978640233,0.10058705855089074,0.09019452781199229,0.37156100976466766,300
robustness,asymmetric_common_shock,n14_t2500_equal,2500,14,equal,7.38189160380273e-05,0.020463159895427706,-0.2509017457228819,0.049754648442768924,0.027044044252792165,0.009631556481849806,-0.5528441514456864,0.07694452324825284,0.07142857142857142,0.07142857142857144,300
robustness,asymmetric_common_shock,n14_t250_equal,250,14,equal,-0.0001119008356308677,0.020347001038659218,-0.2520884077760407,0.034745298739604254,0.027080834147815775,0.009645254166892197,-0.5534440410539151,0.08361660531100351,0.07142857142857142,0.07142857142857144,300
robustness,asymmetric_common_shock,n50_t1000_equal,1000,50,equal,2.5928053208257797e-05,0.018729563044771535,-0.09355887744397226,0.00610731232866724,0.027787248255704545,0.008443002149148638,-0.7095567342545116,0.04502427489449205,0.02000000000000001,0.02,300
robustness,asymmetric_common_shock,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,3.636684913831152e-05,0.018883250217192313,-0.12188044861622532,0.012330697219879333,0.027871123676694688,0.008488534082709446,-0.7003995913548534,0.05755564518013297,0.02598498943734564,0.18851135773716096,300
robustness,asymmetric_common_shock,n62_t1000_concentrated,1000,62,concentrated_static,1.4498775022693431e-05,0.02450220051169702,-0.42041223839540126,0.17781642308789142,0.03038281433438101,0.009828218860865138,-0.5051310441131361,0.31840747363684185,0.20745901639344264,0.45,300
robustness,asymmetric_common_shock,n62_t2500_equal,2500,62,equal,3.265739991347347e-05,0.01858027768100544,-0.07809718894400525,-0.0014542074042491393,0.027849172866766237,0.008358219808160492,-0.7238522243506923,0.042532327728804296,0.01612903225806452,0.01612903225806452,300
robustness,common_factor,n14_t1000_concentrated,1000,14,concentrated_static,-8.198280192803547e-05,0.021606216428411512,-0.0021849053388256884,0.009490633179008199,0.020795984397051964,0.00488593089306645,-0.0007385303660387,0.17005516927781772,0.2257692307692309,0.4500000000000001,300
robustness,common_factor,n14_t1000_equal,1000,14,equal,-3.8266712922492826e-05,0.019172812620194934,0.0031209884311990217,0.011767218813333445,0.019416388829694847,0.004058168000510693,-7.867101715801995e-05,0.05588157447147201,0.07142857142857142,0.07142857142857144,300
robustness,common_factor,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,-8.582405290689308e-06,0.01956356731269282,-0.006065780487185335,0.017688633023835745,0.01960092901852313,0.004104871348150894,-0.0003943366380409733,0.06280001437551087,0.09052191187916685,0.38530782532450003,300
robustness,common_factor,n14_t2500_equal,2500,14,equal,4.59310342872719e-06,0.0192449273291611,-0.0024922256609982794,0.002931550999967977,0.01943033438927781,0.004061909130792001,0.00065711635435646,0.055612008872729275,0.07142857142857142,0.07142857142857144,300
robustness,common_factor,n14_t250_equal,250,14,equal,-9.023652772831639e-05,0.019236034083543532,-0.01116486074440469,-0.015357380105312467,0.019438650086179135,0.004065264653440533,-0.0016773908297062622,0.053335777302847456,0.07142857142857142,0.07142857142857144,300
robustness,common_factor,n50_t1000_equal,1000,50,equal,-3.932142357285178e-05,0.01828187015859423,-0.004410237012745102,0.0017830644052698075,0.019942849563765,0.0021638921652671972,-0.0015077531792169183,0.11171975760750694,0.02000000000000001,0.02,300
robustness,common_factor,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,2.69077539894781e-05,0.018421578267759527,-0.012948132078685915,0.015413175533290897,0.02000908793350302,0.0021719544928462307,-0.0008038205604825682,0.12190438536370536,0.025959831302949713,0.19061160470737626,300
robustness,common_factor,n62_t1000_concentrated,1000,62,concentrated_static,8.884382780895371e-05,0.02143233879262073,0.0019673531855894317,0.0004784349659616035,0.021802439320294503,0.003322004303969479,0.0022248323791409634,0.2762186647226927,0.20745901639344264,0.45,300
robustness,common_factor,n62_t2500_equal,2500,62,equal,-3.621889722062689e-05,0.018245496941399708,-0.0015778470453009835,-0.007230646920439524,0.01999137672863213,0.0019547367689669516,-0.000689575145323038,0.13288334039517563,0.01612903225806452,0.01612903225806452,300
robustness,independent_gaussian,n14_t1000_concentrated,1000,14,concentrated_static,-4.931489322581048e-06,0.01185753131391697,-0.003310401758081672,-0.0014480483158426842,0.02060337809844063,0.004830737212720115,-0.0025212871077997536,0.43769747136101445,0.22576923076923086,0.4500000000000001,300
robustness,independent_gaussian,n14_t1000_equal,1000,14,equal,-8.932885614740365e-06,0.006671942952499925,0.003561628960362915,0.005580702257646859,0.019232032492313523,0.00400627443936866,3.9005813435747915e-05,0.0005510020709585537,0.07142857142857142,0.07142857142857144,300
robustness,independent_gaussian,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,1.351364351993154e-05,0.007493649397515891,0.004912441940636372,0.07717056624455046,0.019397549954809648,0.004067949002446085,0.0004245372327116171,0.07023372400816286,0.09021405846432624,0.37481207331106126,300
robustness,independent_gaussian,n14_t2500_equal,2500,14,equal,2.1502498268806346e-06,0.0066639537087867535,0.0014539951349664309,0.0042792625315272465,0.019218014667491824,0.004006698654080751,0.000953641625356055,0.0007138142443692029,0.07142857142857142,0.07142857142857144,300
robustness,independent_gaussian,n14_t250_equal,250,14,equal,-1.2817232178838609e-05,0.006672913910765171,0.009658003097182016,0.013454079613387666,0.01924847878328867,0.0040003531150954695,-0.008132543412527359,0.001595281633116842,0.07142857142857142,0.07142857142857144,300
robustness,independent_gaussian,n50_t1000_equal,1000,50,equal,1.3083821823831454e-05,0.0035297862888564245,0.0002664731592881825,0.0021140508734751166,0.019748720216682725,0.002127586358242066,1.6632256224704037e-05,0.000283358020369209,0.02000000000000001,0.02,300
