assets,asset_scale,market_scale,expected_csad,no_intercept_closed_target,no_intercept_moment_target,scsad_closed_target,scsad_moment_target,maximum_absolute_difference,no_intercept_target_negative,scsad_target_negative,equation_gate_pass
14,0.025,0.00668153104781061,0.01922152002776092,-259.40717487154114,-259.40717487154154,-8569.363533716636,-8569.363533716645,9.094947017729282e-12,True,True,True
50,0.025,0.0035355339059327377,0.019746635424171474,-951.7641278414769,-951.7641278414798,-59417.84542097426,-59417.84542097419,7.275957614183426e-11,True,True,True
62,0.025,0.0031750031750047624,0.019785596268544436,-1182.5160722872697,-1182.516072287275,-82206.36826405322,-82206.36826405316,5.820766091346741e-11,True,True,True
