family,outcome,horizon_minutes,observed_residualized_coefficient,permutation_repetitions,empirical_p_value,null_mean,null_std,null_q025,null_q975,q_value_bh_fdr
future_absolute_return,abs_forward_return_5m_bps,5,-0.25285504957058,199,0.215,-0.03418572464520787,0.20686712502590407,-0.4998580577226731,0.3179047372291071,0.305
future_absolute_return,abs_forward_return_15m_bps,15,-0.3390133485065262,199,0.305,0.0330926073274003,0.3157890257352651,-0.5521600234555213,0.6391595393495475,0.305
future_absolute_return,abs_forward_return_30m_bps,30,-1.0428373823497576,199,0.015,-0.04389740849028233,0.40350659884079876,-0.7693802067278208,0.6738878479720539,0.045
future_realized_volatility,realized_volatility_5m_bps,5,-0.25230049068515054,199,0.405,-0.022155012819243224,0.29122915047684184,-0.5885802432737217,0.5089511336070789,0.565
future_realized_volatility,realized_volatility_15m_bps,15,-0.3403975893228355,199,0.565,-0.05256399468931018,0.4970276827030203,-0.9967790801031766,0.8637068417821532,0.565
future_realized_volatility,realized_volatility_30m_bps,30,-0.9503071836607719,199,0.285,-0.003930783591564192,0.8218321667226401,-1.5677474898845492,1.503832245701011,0.565
