coefficient,cluster_std_error,cluster_t_stat,cluster_p_value,ci_lower,ci_upper,outcome_mean,outcome_std,observations,utc_day_clusters,rsquared,condition_number,family,outcome,horizon_minutes,placebo_lead_days,q_value_bh_fdr
-0.687457389969314,0.20901384861828406,-3.28905187150923,0.0010052549529491663,-1.0971170055312578,-0.27779777440737036,16.61700874713311,30.277479322075326,229189,359,0.08640715980864055,45.61547585388878,future_absolute_return,abs_forward_return_5m_bps,5,7,0.0015078824294237495
-0.9565258581192236,0.24442506667114083,-3.9133705521544213,9.101670166106554e-05,-1.4355901857134612,-0.4774615305249861,26.71733072630177,32.24161933201635,229189,359,0.15770320518790126,45.61547585388878,future_absolute_return,abs_forward_return_15m_bps,15,7,0.0002730501049831966
-0.9333460807089575,0.3573570417994009,-2.6118026834151005,0.009006622009579534,-1.633753012257558,-0.23293914916035707,37.20086385061831,45.05318034818046,229189,359,0.15055165207666632,45.61547585388878,future_absolute_return,abs_forward_return_30m_bps,30,7,0.009006622009579534
-0.7994401496772976,0.16511843734537082,-4.841616493772555,1.2878713839297083e-06,-1.1230663400577579,-0.47581395929683734,19.891900675688333,21.147186714488633,229189,359,0.24493880591491424,45.61547585388878,future_realized_volatility,realized_volatility_5m_bps,5,7,3.863614151789125e-06
-1.2785109370407621,0.2921602928502486,-4.3760598833192,1.2084382760337148e-05,-1.8511345887399244,-0.7058872853415998,33.67308489647826,35.599576993776616,229189,359,0.22444624870982444,45.61547585388878,future_realized_volatility,realized_volatility_15m_bps,15,7,1.8126574140505723e-05
-1.7254992781539422,0.4970661253127472,-3.4713676717927253,0.000517814474331001,-2.6997309817018,-0.7512675746060844,48.623854982025975,49.3443945528491,229189,359,0.22956314629066743,45.61547585388878,future_realized_volatility,realized_volatility_30m_bps,30,7,0.000517814474331001
