coefficient,cluster_std_error,cluster_t_stat,cluster_p_value,ci_lower,ci_upper,outcome_mean,outcome_std,observations,utc_day_clusters,rsquared,condition_number,family,outcome,horizon_minutes,omitted_symbol,q_value_bh_fdr_21
1.488735029125996,1.5580553284270906,0.9555084482326595,0.33932063510576316,-1.564997300511827,4.542467358763819,17.82228534014234,32.09490038520052,198155,365,0.0762998055897095,43.55318291940138,future_absolute_return,abs_forward_return_5m_bps,5,BTCUSDT,0.6794427492986969
0.08853594842864926,1.4612020370229977,0.06059117506366835,0.9516848018909089,-2.775367418272989,2.9524393151302872,16.81831282168754,31.803730179645832,198155,365,0.08243817171929191,42.22088445396115,future_absolute_return,abs_forward_return_5m_bps,5,ETHUSDT,0.9942579970043935
-0.6390949705328575,0.3610798537331124,-1.7699546621762963,0.07673469369236109,-1.3467984793927483,0.0686085383270334,16.65936609510257,31.33412564315969,198155,365,0.08175366962306019,49.642979829225304,future_absolute_return,abs_forward_return_5m_bps,5,XRPUSDT,0.4017098810337883
-0.31668749462746315,0.5031003941486754,-0.6294717680818914,0.5290402458876422,-1.3027461477667726,0.6693711585118463,16.406059522172562,31.656686557630362,198155,365,0.08248301370528521,49.76878981776169,future_absolute_return,abs_forward_return_5m_bps,5,SOLUSDT,0.7406563442426991
-0.7775549160716227,0.21940669019941753,-3.5438979338547396,0.00039425784206930395,-1.2075841268296184,-0.34752570531362714,16.070681596317467,28.696527409554513,198162,365,0.09052436488144444,49.416080723083546,future_absolute_return,abs_forward_return_5m_bps,5,DOGEUSDT,0.008279414683455383
-0.4383296091564274,0.5427433142726482,-0.8076186249182088,0.4193101615776671,-1.5020869579807217,0.625427739667867,15.990286254362852,27.76321666104241,199900,365,0.09733192036788318,47.87627661012356,future_absolute_return,abs_forward_return_5m_bps,5,ADAUSDT,0.6794427492986969
-0.006234067712523079,0.8662523247825548,-0.00719659565021998,0.9942579970043934,-1.704057425810424,1.691589290385378,15.963120917417898,26.835105304779216,208482,365,0.1039479536475304,45.864972798709424,future_absolute_return,abs_forward_return_5m_bps,5,AVAXUSDT,0.9942579970043935
1.572151855215614,2.094843995664591,0.7504863648411431,0.45296183286579794,-2.533666929516965,5.677970639948192,28.5944711865524,33.63038204608539,198149,365,0.13834066640153897,43.55226368208195,future_absolute_return,abs_forward_return_15m_bps,15,BTCUSDT,0.6794427492986969
-0.409536788018601,1.8710074228739786,-0.21888570991852516,0.8267390783950055,-4.076643951658702,3.2575703756215,27.024084440848622,32.809796062729525,198149,365,0.15807066484997145,42.21991007413521,future_absolute_return,abs_forward_return_15m_bps,15,ETHUSDT,0.9137642445418482
-0.5972916191199161,0.6912042860893335,-0.8641318220106063,0.38751547969186073,-1.9520271258147295,0.7574438875748973,26.78363079478576,32.31605200293418,198149,365,0.15726205753336786,49.641282717315164,future_absolute_return,abs_forward_return_15m_bps,15,XRPUSDT,0.6794427492986969
-0.26688267935295656,0.7995179052016058,-0.33380450596120126,0.7385270830078288,-1.8339089785430132,1.3001436198371,26.366007821108983,32.42233638087439,198149,365,0.16145631847181763,49.767092252758296,future_absolute_return,abs_forward_return_15m_bps,15,SOLUSDT,0.9002918389718721
