split,rows,start,end,symbols,utc_days,minimum_trade_count_rows,minimum_trade_count_share,exact_5m_rows,exact_15m_rows,exact_30m_rows
development,245280,2024-04-08 00:00:00+00:00,2025-04-07 23:45:00+00:00,7,366,241070,0.9828359425962165,245273,245266,245259
oos,245280,2025-04-08 00:00:00+00:00,2026-04-07 23:45:00+00:00,7,366,233201,0.9507542400521852,245273,245266,245259
