coefficient,cluster_std_error,cluster_t_stat,cluster_p_value,ci_lower,ci_upper,outcome_mean,outcome_std,split,family,outcome,horizon_minutes,unit,q_value_bh_fdr
-0.20180100051956468,0.008855924368507106,-22.787118783127482,6.15331557139278e-115,-0.2191582933316492,-0.18444370770748014,-8.300030463767545e-17,1.0,development,mechanism,log_amihud_illiquidity,,standard_deviation,1.0255525952321301e-114
-0.022914573180558555,0.02766391918886155,-0.8283198423231641,0.40748938848732785,-0.0771348584619537,0.03130571210083659,-3.923650764690112e-16,1.0,development,mechanism,zero_tick_share,,standard_deviation,0.4074893884873278
-0.6041078713319433,0.009958782713733818,-60.66081454903507,0.0,-0.6236267267807216,-0.584589015883165,1.8109157375492825e-16,1.0,development,mechanism,log_mean_intertrade_ms,,standard_deviation,0.0
0.49285463808620544,0.01006580679558631,48.96325233485646,0.0,0.47312601929151776,0.5125832568808931,-6.338205081422489e-16,0.9999999999999999,development,mechanism,log_quote_volume,,standard_deviation,0.0
-0.13390928546533518,0.007597951069336496,-17.6243942930563,1.6007385508373965e-69,-0.1488009959175323,-0.11901757501313805,1.5656875647561506e-16,1.0,development,mechanism,abs_aggressor_imbalance,,standard_deviation,2.0009231885467457e-69
-0.16088592937144433,0.379558737460165,-0.4238762370430991,0.6716560751472955,-0.9048073848108615,0.5830355260679729,19.66024025728644,24.66351390596919,development,future_absolute_return,abs_forward_return_5m_bps,5.0,bps,0.6716560751472955
-0.8860688747360157,0.44009729220998245,-2.0133477083818274,0.04407806264198789,-1.7486437171611815,-0.02349403231085001,31.58942818379667,38.81906714007651,development,future_absolute_return,abs_forward_return_15m_bps,15.0,bps,0.06611709396298183
-1.5483846756600672,0.5912041252093159,-2.6190356420667085,0.008817873379521184,-2.707123468581835,-0.38964588273829937,44.24942176672162,55.329368708868714,development,future_absolute_return,abs_forward_return_30m_bps,30.0,bps,0.026453620138563554
-0.01303009131826338,0.32924268232230347,-0.039575948131499894,0.9684312030229857,-0.6583338908433405,0.6322737082068137,23.55375174545874,20.517380483475897,development,future_realized_volatility,realized_volatility_5m_bps,5.0,bps,0.9684312030229857
0.1375749969729287,0.5500551517196922,0.2501112780106036,0.8025012945137238,-0.9405132899083832,1.2156632838542407,39.398429447797646,32.06042948994558,development,future_realized_volatility,realized_volatility_15m_bps,15.0,bps,0.9684312030229857
-0.25815461472194234,0.7454709504161712,-0.34629735012185703,0.7291192598612979,-1.7192508290584825,1.2029415996145976,56.739200852403286,44.04063085306537,development,future_realized_volatility,realized_volatility_30m_bps,30.0,bps,0.9684312030229857
-0.20705592012187468,0.007330345090940418,-28.24640825952046,1.5755341869592135e-175,-0.22142313249436787,-0.1926887077493815,-0.056421061596194644,0.9084130328490354,oos,mechanism,log_amihud_illiquidity,,standard_deviation,2.6258903115986893e-175
-0.10834157260289005,0.01447991017809555,-7.482199217422185,7.30890359328063e-14,-0.1367216750513323,-0.07996147015444782,-0.45390833803594377,1.1917197386091243,oos,mechanism,zero_tick_share,,standard_deviation,7.30890359328063e-14
-0.5370592147210316,0.008054558433652183,-66.67767316420256,0.0,-0.5528458591623632,-0.5212725702797,0.11921473082571235,0.9263814617620774,oos,mechanism,log_mean_intertrade_ms,,standard_deviation,0.0
0.5026772089083126,0.009980710838177028,50.36487050456682,0.0,0.48311537512537706,0.5222390426912481,-0.0398063983747813,0.9472917296813634,oos,mechanism,log_quote_volume,,standard_deviation,0.0
-0.120141514405306,0.007689673148001972,-15.623747861965068,5.01680137967183e-55,-0.13521299682827462,-0.1050700319823374,0.18407671415982865,1.0981850026329831,oos,mechanism,abs_aggressor_imbalance,,standard_deviation,6.271001724589788e-55
-0.25285504957057575,0.6649125515654236,-0.3802831650196278,0.7037352308718174,-1.5560597035074375,1.050349604366286,16.52798896040083,30.07555905237686,oos,future_absolute_return,abs_forward_return_5m_bps,5.0,bps,0.7364064231165339
-0.33901334850653114,1.0071220277625699,-0.33661596029200735,0.7364064231165339,-2.3129362509581166,1.6349095539450542,26.5888606720773,32.11115160210332,oos,future_absolute_return,abs_forward_return_15m_bps,15.0,bps,0.7364064231165339
-1.0428373823497665,0.9847697584102468,-1.058965685576353,0.28961540753108994,-2.97295064189806,0.8872758771985272,37.02562190176912,44.87780049028667,oos,future_absolute_return,abs_forward_return_30m_bps,30.0,bps,0.7364064231165339
-0.25230049068514526,0.7041571944712683,-0.3583013745596827,0.7201177895532005,-1.6324232313035982,1.1278222499333075,19.78900446454736,21.03149693537647,oos,future_realized_volatility,realized_volatility_5m_bps,5.0,bps,0.7447175349369978
-0.34039758932284353,1.0454069287515653,-0.3256125246169446,0.7447175349369977,-2.389357518864542,1.7085623402188548,33.512815975991344,35.379338900203464,oos,future_realized_volatility,realized_volatility_15m_bps,15.0,bps,0.7447175349369978
-0.9503071836607884,1.179064884535166,-0.8059837894633229,0.4202521961299157,-3.261231892785591,1.360617525464014,48.39575371080935,49.032529771453525,oos,future_realized_volatility,realized_volatility_30m_bps,30.0,bps,0.7447175349369978
