variant,frequency,period_count,mean_maximum_asset_weight,median_maximum_asset_weight,p95_maximum_asset_weight,maximum_asset_weight,mean_effective_asset_count,median_effective_asset_count
point_in_time_equal_weight,daily,1826,0.020050787565847807,0.02,0.02040816326530612,0.020833333333333332,49.87568455640745,49.99999999999999
point_in_time_equal_weight,weekly,262,0.020032776469366374,0.02,0.02040816326530612,0.02040816326530612,49.91984732824427,49.99999999999999
point_in_time_lagged_liquidity,daily,1826,0.33726766710820955,0.29826553230128394,0.6997622549079446,0.7903636692597062,7.230836211299601,6.859192617165151
point_in_time_lagged_liquidity,weekly,262,0.3325897805054409,0.29370995747322814,0.6831199367241114,0.7583214233040533,7.47374966733084,7.105018253935076
