window,is_primary,calendar_days,eligible_factor_days,first_eligible_day,last_eligible_day,mean_model_coverage,minimum_model_coverage,minimum_modelled_assets,nonpositive_expected_csad_days,nonfinite_ratio_days
window_180,False,2290,2136,2018-05-31 00:00:00+00:00,2024-04-09 00:00:00+00:00,0.9505564268303088,0.8016528925619835,37,0,0
window_365,True,2290,2050,2018-07-30 00:00:00+00:00,2024-04-09 00:00:00+00:00,0.9250989710625573,0.8172043010752689,37,0,0
window_730,False,2290,1150,2019-01-31 00:00:00+00:00,2024-04-09 00:00:00+00:00,0.8804610172573114,0.8021390374331551,31,0,0
window_365_empirical,True,2290,2050,2018-07-30 00:00:00+00:00,2024-04-09 00:00:00+00:00,0.9250989710625573,0.8172043010752689,37,0,0
