mode,slippage_bps,n_windows,cum_pnl,avg_daily_pnl,sharpe,mdd,total_entries,filtered_out
baseline,0,94,-0.34326135409026415,-0.0036517165328751504,-5.936583560218818,-0.3318836882802757,318,0
baseline,5,94,-0.967019462864921,-0.01028744109430767,-15.699714813944015,-0.9400758010756235,318,0
baseline,10,94,-1.5907775716395776,-0.01692316565574019,-22.421523602824973,-1.5482679138709718,318,0
filtered,0,94,-0.0239762304848414,-0.0002550662817536319,-1.552679866603603,-0.0333906213780658,28,1671
filtered,5,94,-0.07728460705991486,-0.0008221766708501581,-4.706008130918715,-0.0780397463592113,28,1671
filtered,10,94,-0.13059298363498834,-0.0013892870599466845,-7.020082788946069,-0.12979339895379652,28,1671
