mode,slippage_bps,n_windows,cum_pnl,avg_daily_pnl,sharpe,mdd,total_entries,filtered_out
baseline,0,101,-0.02984069267074594,-0.00029545240268065285,-1.130872199346539,-0.04193173902478477,32,0
baseline,5,101,-0.09036295070412573,-0.0008946826802388685,-3.336636420301887,-0.09036295070412573,32,0
baseline,10,101,-0.1508852087375055,-0.001493912957797084,-5.227236315639553,-0.1508852087375055,32,0
filtered_lag1,0,101,0.007041748775532855,6.97202849062659e-05,1.668530158664977,-0.0009191544531541233,2,40
filtered_lag1,5,101,0.0027550954095923626,2.727817237220161e-05,0.7818975296240581,-0.0031337990215306658,2,40
filtered_lag1,10,101,-0.0015315579563481329,-1.5163940161862702e-05,-0.4410236228685868,-0.005348443589907209,2,40
filtered_lag16,0,101,-0.0027626862979125925,-2.7353329682302895e-05,-0.32284489948310346,-0.010398516287023925,8,32
filtered_lag16,5,101,-0.01756682168443066,-0.00017392892756862042,-1.9474974174623645,-0.01756682168443066,8,32
filtered_lag16,10,101,-0.03237095707094873,-0.00032050452545493796,-3.1727064228674693,-0.03237095707094873,8,32
filtered_lag2,0,101,0.007041748775532855,6.97202849062659e-05,1.668530158664977,-0.0009191544531541233,2,40
filtered_lag2,5,101,0.0027550954095923626,2.727817237220161e-05,0.7818975296240581,-0.0031337990215306658,2,40
filtered_lag2,10,101,-0.0015315579563481329,-1.5163940161862702e-05,-0.4410236228685868,-0.005348443589907209,2,40
filtered_lag4,0,101,-0.007571762412332768,-7.496794467656206e-05,-1.0403077903554963,-0.014613511187865625,4,37
filtered_lag4,5,101,-0.015450462950586455,-0.00015297488069887578,-1.9312629898020932,-0.018205558360178817,4,37
filtered_lag4,10,101,-0.023329163488840142,-0.00023098181672118951,-2.553588387430455,-0.023329163488840142,4,37
filtered_lag8,0,101,-0.008935021789767676,-8.846556227492749e-05,-1.222347518531917,-0.01597677056530053,5,36
filtered_lag8,5,101,-0.01817698170545627,-0.00017997011589560664,-2.240371786423965,-0.020932077115048634,5,36
filtered_lag8,10,101,-0.02741894162114486,-0.00027147466951628574,-2.930139580271694,-0.02741894162114486,5,36
