outcome,full_oos_coefficient,full_oos_pass,audit_sample_coefficient,same_sign_as_full,audit_to_full_absolute_magnitude_ratio,null_mean_coefficient,null_std_coefficient,null_q025,null_q975,outside_null_95_interval,empirical_p_value,q_value_bh_fdr_5,exceeds_count_conditioned_null
log_amihud_illiquidity,-0.2070559201218746,True,-0.2140560952450843,True,1.033808138009719,0.009704441095276531,0.4883196054557179,-0.8922122402305084,0.954938770836798,False,0.662,0.8859999999999999,False
zero_tick_share,-0.10834157260289,True,-0.09380456089077073,True,0.865822404430084,0.003639099688493744,0.2664308996371291,-0.5187431458181273,0.5032337468481755,False,0.74,0.8859999999999999,False
log_mean_intertrade_ms,-0.5370592147210316,True,-0.559493618666549,True,1.0417726822863858,0.006468809454222242,0.2363575276343798,-0.47525536390917716,0.4545926326915058,True,0.02,0.1,False
log_quote_volume,0.5026772089083126,True,0.537622652269709,True,1.0695186547989495,-0.009599818576626772,0.2755886160607437,-0.5321139608783222,0.5323573867785448,True,0.046,0.11499999999999999,False
abs_aggressor_imbalance,-0.120141514405306,True,-0.08820087075543888,True,0.7341414929887343,-0.004490789126892526,0.625991832608577,-1.2622184353049797,1.2001803157165385,False,0.886,0.8859999999999999,False
