outcome,observations,control_terms,condition_number,weighted_effective_sample_size
log_amihud_illiquidity,9044,38,29.955724818695487,2676.265538772515
zero_tick_share,9044,38,29.955724818695487,2676.265538772515
log_mean_intertrade_ms,9044,38,29.955724818695487,2676.265538772515
log_quote_volume,9044,38,29.955724818695487,2676.265538772515
abs_aggressor_imbalance,9044,38,29.955724818695487,2676.265538772515
