symbol,bucket_start,transaction_count_quintile,zero_tick_share_quintile,liquidity_quintile,transaction_count,zero_ticks,zero_runs,sampling_weight
ADAUSDT,2025-04-11 11:00:00+00:00,3,4,3,1844,1016,355,18.4375
XRPUSDT,2025-04-11 13:30:00+00:00,5,2,4,9083,3844,1871,11.6125
XRPUSDT,2025-04-11 17:15:00+00:00,3,2,3,2820,1231,625,48.225
ADAUSDT,2025-04-11 17:45:00+00:00,3,4,3,2561,1512,531,18.4375
SOLUSDT,2025-04-11 17:45:00+00:00,4,4,4,5118,2821,1109,52.7875
XRPUSDT,2025-04-11 18:00:00+00:00,5,4,4,7672,4335,1508,4.1125
ADAUSDT,2025-04-11 18:45:00+00:00,2,4,1,974,565,218,52.55
DOGEUSDT,2025-04-12 05:15:00+00:00,3,3,3,2788,1303,586,36.4125
ADAUSDT,2025-04-12 06:45:00+00:00,2,5,1,969,616,212,40.525
SOLUSDT,2025-04-12 08:30:00+00:00,4,4,4,3484,2105,697,52.7875
XRPUSDT,2025-04-12 08:45:00+00:00,3,4,3,2375,1306,447,28.8375
ETHUSDT,2025-04-12 10:15:00+00:00,4,1,3,4729,1027,440,106.55
ETHUSDT,2025-04-12 11:45:00+00:00,3,1,3,3052,764,357,19.05
XRPUSDT,2025-04-12 12:30:00+00:00,3,2,3,2697,1180,578,48.225
DOGEUSDT,2025-04-12 14:15:00+00:00,4,3,4,4687,2213,940,16.275
SOLUSDT,2025-04-12 17:15:00+00:00,4,4,4,3781,2261,825,52.7875
DOGEUSDT,2025-04-12 22:30:00+00:00,3,4,2,2165,1265,370,10.075
BTCUSDT,2025-04-13 00:30:00+00:00,5,1,5,9890,2134,809,173.075
DOGEUSDT,2025-04-13 01:15:00+00:00,3,4,2,2206,1201,411,10.075
XRPUSDT,2025-04-13 02:15:00+00:00,4,3,4,4469,2356,875,32.2375
ADAUSDT,2025-04-13 04:15:00+00:00,1,5,1,625,396,121,81.6375
BTCUSDT,2025-04-13 08:00:00+00:00,5,2,5,8032,2687,858,57.2
ETHUSDT,2025-04-13 09:15:00+00:00,4,1,4,6978,1239,583,106.55
XRPUSDT,2025-04-13 11:45:00+00:00,4,3,5,6461,3227,1248,32.2375
XRPUSDT,2025-04-13 16:00:00+00:00,4,3,3,3970,1811,785,32.2375
ADAUSDT,2025-04-13 18:15:00+00:00,2,4,1,1027,605,244,52.55
SOLUSDT,2025-04-13 21:15:00+00:00,4,3,4,3754,1940,845,26.9375
SOLUSDT,2025-04-13 21:30:00+00:00,4,3,4,5082,2663,1050,26.9375
ADAUSDT,2025-04-13 22:15:00+00:00,1,3,1,782,363,185,39.4875
SOLUSDT,2025-04-13 23:15:00+00:00,3,3,3,2261,1091,459,43.7
XRPUSDT,2025-04-14 00:15:00+00:00,4,2,4,7562,3234,1424,29.925
DOGEUSDT,2025-04-14 02:30:00+00:00,5,3,4,9078,4105,1850,3.625
BTCUSDT,2025-04-14 02:45:00+00:00,5,1,5,28579,6412,1701,173.075
ADAUSDT,2025-04-14 05:00:00+00:00,1,4,1,704,404,179,104.5375
DOGEUSDT,2025-04-14 06:15:00+00:00,2,3,1,1647,829,338,66.0875
