symbol,bucket_start,transaction_count_quintile,zero_tick_share_quintile,liquidity_quintile,transaction_count,zero_ticks,zero_runs,sampling_weight
ADAUSDT,2025-08-04 19:45:00+00:00,1,2,1,480,210,106,2.95
SOLUSDT,2025-08-04 21:00:00+00:00,3,3,4,2590,1328,569,43.7
ADAUSDT,2025-08-05 04:15:00+00:00,1,3,2,766,409,173,39.4875
BTCUSDT,2025-08-05 06:00:00+00:00,3,2,4,2870,1262,450,18.6125
SOLUSDT,2025-08-05 06:45:00+00:00,3,3,3,2603,1321,570,43.7
XRPUSDT,2025-08-05 07:30:00+00:00,5,4,5,9472,5140,1553,4.1125
ADAUSDT,2025-08-05 10:45:00+00:00,2,4,2,837,454,187,52.55
ADAUSDT,2025-08-05 13:15:00+00:00,2,4,2,1011,575,222,52.55
ADAUSDT,2025-08-05 14:30:00+00:00,4,4,4,3946,2196,859,6.0125
SOLUSDT,2025-08-05 16:00:00+00:00,4,3,4,3550,1863,782,26.9375
ADAUSDT,2025-08-05 18:00:00+00:00,1,2,1,566,217,112,2.95
BTCUSDT,2025-08-05 18:15:00+00:00,4,1,4,6753,1786,738,46.3875
BTCUSDT,2025-08-05 19:45:00+00:00,4,1,4,6768,1957,804,46.3875
DOGEUSDT,2025-08-05 20:30:00+00:00,2,1,1,1479,426,264,1.0
SOLUSDT,2025-08-05 20:30:00+00:00,3,3,3,2082,1070,474,43.7
XRPUSDT,2025-08-05 23:00:00+00:00,4,4,4,3885,2253,646,14.8625
SOLUSDT,2025-08-06 00:30:00+00:00,2,2,2,1606,704,386,1.0
SOLUSDT,2025-08-06 01:00:00+00:00,3,2,3,2107,935,496,1.0
DOGEUSDT,2025-08-06 01:30:00+00:00,3,2,2,2180,893,405,69.6875
BTCUSDT,2025-08-06 02:15:00+00:00,3,2,4,3114,1009,401,18.6125
DOGEUSDT,2025-08-06 02:15:00+00:00,2,2,1,1244,407,267,56.45
SOLUSDT,2025-08-06 02:15:00+00:00,2,2,2,1466,658,344,1.0
ETHUSDT,2025-08-06 03:30:00+00:00,4,1,4,6875,723,421,106.55
SOLUSDT,2025-08-06 04:00:00+00:00,2,3,2,1746,869,419,16.0375
XRPUSDT,2025-08-06 05:00:00+00:00,3,2,4,3449,1437,630,48.225
AVAXUSDT,2025-08-06 06:30:00+00:00,1,3,1,223,119,56,1.0
ADAUSDT,2025-08-06 06:45:00+00:00,1,4,1,737,434,149,104.5375
ADAUSDT,2025-08-06 08:00:00+00:00,1,3,1,686,364,164,39.4875
ADAUSDT,2025-08-06 08:45:00+00:00,1,2,1,520,225,119,2.95
ADAUSDT,2025-08-06 10:00:00+00:00,1,2,1,430,190,106,2.95
ADAUSDT,2025-08-06 10:45:00+00:00,1,4,1,529,312,120,104.5375
BTCUSDT,2025-08-06 10:45:00+00:00,3,2,4,2970,1227,522,18.6125
XRPUSDT,2025-08-06 11:45:00+00:00,2,3,2,1517,701,323,75.6375
DOGEUSDT,2025-08-06 13:30:00+00:00,4,1,3,4805,1371,775,1.375
SOLUSDT,2025-08-06 13:30:00+00:00,4,2,4,5051,2220,1183,1.275
XRPUSDT,2025-08-06 13:30:00+00:00,5,2,4,8132,2915,1255,11.6125
DOGEUSDT,2025-08-06 13:45:00+00:00,3,1,3,3472,897,555,1.0
SOLUSDT,2025-08-06 13:45:00+00:00,4,3,4,4507,2102,1017,26.9375
BTCUSDT,2025-08-06 17:30:00+00:00,4,3,4,5503,2660,735,14.5875
XRPUSDT,2025-08-06 20:15:00+00:00,2,2,2,1324,544,295,29.175
XRPUSDT,2025-08-06 21:30:00+00:00,3,4,4,3313,1894,562,28.8375
BTCUSDT,2025-08-06 23:30:00+00:00,3,3,4,2713,1302,447,11.4125
ADAUSDT,2025-08-07 03:30:00+00:00,1,3,1,268,134,69,39.4875
BTCUSDT,2025-08-07 03:45:00+00:00,3,3,4,2942,1449,448,11.4125
BTCUSDT,2025-08-07 06:30:00+00:00,4,3,4,3912,2057,567,14.5875
XRPUSDT,2025-08-07 08:30:00+00:00,3,5,3,2565,1596,424,12.5625
BTCUSDT,2025-08-07 09:45:00+00:00,4,3,4,4758,2297,732,14.5875
ADAUSDT,2025-08-07 10:00:00+00:00,3,4,3,2753,1634,587,18.4375
DOGEUSDT,2025-08-07 10:30:00+00:00,5,3,5,8163,3972,1476,3.625
DOGEUSDT,2025-08-07 10:45:00+00:00,4,2,4,5124,2256,954,44.2
AVAXUSDT,2025-08-07 11:15:00+00:00,1,5,2,634,429,123,225.225
XRPUSDT,2025-08-07 11:15:00+00:00,4,3,4,4475,2040,844,32.2375
BTCUSDT,2025-08-07 14:00:00+00:00,5,2,5,11668,4241,1250,57.2
DOGEUSDT,2025-08-07 14:00:00+00:00,3,3,3,2729,1238,561,36.4125
BTCUSDT,2025-08-07 16:15:00+00:00,4,3,5,7525,3556,879,14.5875
XRPUSDT,2025-08-07 16:15:00+00:00,3,2,3,2105,774,418,48.225
XRPUSDT,2025-08-07 20:00:00+00:00,5,3,5,9989,5202,1553,12.4625
BTCUSDT,2025-08-07 22:15:00+00:00,4,1,5,5959,1689,683,46.3875
XRPUSDT,2025-08-07 23:00:00+00:00,5,3,5,19680,9912,3026,12.4625
ADAUSDT,2025-08-08 00:00:00+00:00,4,4,3,4340,2327,947,6.0125
ADAUSDT,2025-08-08 00:15:00+00:00,5,3,4,8221,4188,1651,1.0
AVAXUSDT,2025-08-08 00:30:00+00:00,4,5,3,3853,2864,643,3.15
DOGEUSDT,2025-08-08 00:30:00+00:00,5,2,4,12668,3990,2161,17.275
ADAUSDT,2025-08-08 01:15:00+00:00,5,2,4,8140,3521,1838,1.0
SOLUSDT,2025-08-08 01:15:00+00:00,4,3,4,7127,3254,1715,26.9375
XRPUSDT,2025-08-08 01:15:00+00:00,5,2,5,23043,9042,3571,11.6125
ADAUSDT,2025-08-08 01:30:00+00:00,3,2,2,1766,724,394,1.2
ADAUSDT,2025-08-08 01:45:00+00:00,2,2,2,1145,513,244,3.1375
ADAUSDT,2025-08-08 03:15:00+00:00,3,3,3,1940,1021,413,10.725
ETHUSDT,2025-08-08 03:30:00+00:00,5,1,5,16969,3162,1265,232.8125
SOLUSDT,2025-08-08 03:45:00+00:00,3,4,3,1923,1090,435,97.675
BTCUSDT,2025-08-08 06:15:00+00:00,4,3,5,5105,2334,658,14.5875
SOLUSDT,2025-08-08 06:15:00+00:00,2,4,3,1739,936,409,69.175
XRPUSDT,2025-08-08 07:15:00+00:00,4,2,4,5385,2012,941,29.925
ADAUSDT,2025-08-08 07:30:00+00:00,2,3,2,1066,543,247,28.9875
BTCUSDT,2025-08-08 08:45:00+00:00,5,4,4,9048,5106,1179,1.4
SOLUSDT,2025-08-08 08:45:00+00:00,4,5,4,4098,2714,659,28.9
BTCUSDT,2025-08-08 09:00:00+00:00,5,4,4,8620,5126,1187,1.4
XRPUSDT,2025-08-08 09:30:00+00:00,4,3,4,4246,1948,771,32.2375
BTCUSDT,2025-08-08 09:45:00+00:00,4,4,4,6922,4044,945,2.3625
ETHUSDT,2025-08-08 09:45:00+00:00,5,3,4,10473,4741,946,1.4625
BTCUSDT,2025-08-08 10:15:00+00:00,4,4,4,6008,3282,986,2.3625
ETHUSDT,2025-08-08 11:00:00+00:00,5,2,5,9468,3488,933,22.9625
BTCUSDT,2025-08-08 11:15:00+00:00,4,4,4,6105,3663,854,2.3625
BTCUSDT,2025-08-08 11:30:00+00:00,4,4,4,6066,3496,935,2.3625
XRPUSDT,2025-08-08 11:30:00+00:00,3,3,4,2778,1398,522,62.125
BTCUSDT,2025-08-08 12:00:00+00:00,5,3,4,7702,3755,1078,3.325
BTCUSDT,2025-08-08 12:15:00+00:00,5,3,5,7856,4170,1147,3.325
XRPUSDT,2025-08-08 12:45:00+00:00,4,3,4,5185,2442,906,32.2375
ADAUSDT,2025-08-08 14:00:00+00:00,4,4,4,5024,2839,1094,6.0125
XRPUSDT,2025-08-08 14:15:00+00:00,5,4,5,14835,8271,2044,4.1125
XRPUSDT,2025-08-08 15:30:00+00:00,5,4,5,15035,8319,2366,4.1125
SOLUSDT,2025-08-08 16:45:00+00:00,3,3,3,2327,1214,550,43.7
XRPUSDT,2025-08-08 17:00:00+00:00,5,5,5,9124,6844,945,1.5875
ADAUSDT,2025-08-08 17:45:00+00:00,2,4,2,1539,875,348,52.55
ETHUSDT,2025-08-08 21:45:00+00:00,4,2,4,3575,1588,535,26.225
XRPUSDT,2025-08-08 23:15:00+00:00,3,3,3,2080,935,405,62.125
XRPUSDT,2025-08-09 00:45:00+00:00,3,3,3,2610,1281,459,62.125
BTCUSDT,2025-08-09 03:45:00+00:00,4,3,5,3694,1664,508,14.5875
BTCUSDT,2025-08-09 04:45:00+00:00,4,4,4,3625,1957,588,2.3625
BTCUSDT,2025-08-09 05:00:00+00:00,5,3,5,17331,8442,1657,3.325
ETHUSDT,2025-08-09 05:15:00+00:00,5,1,5,32069,5510,2475,232.8125
XRPUSDT,2025-08-09 05:15:00+00:00,5,5,5,8162,5104,1084,1.5875
BTCUSDT,2025-08-09 06:45:00+00:00,4,3,4,3767,1777,538,14.5875
BTCUSDT,2025-08-09 07:45:00+00:00,3,4,4,2823,1569,570,1.6125
XRPUSDT,2025-08-09 09:15:00+00:00,4,3,4,3804,1983,725,32.2375
XRPUSDT,2025-08-09 09:30:00+00:00,4,3,4,3843,1874,716,32.2375
DOGEUSDT,2025-08-09 09:45:00+00:00,4,2,3,3583,1284,717,44.2
ADAUSDT,2025-08-09 15:30:00+00:00,2,2,1,929,401,217,3.1375
DOGEUSDT,2025-08-09 15:30:00+00:00,4,1,4,4933,1369,793,1.375
ADAUSDT,2025-08-09 17:00:00+00:00,2,3,2,1316,702,277,28.9875
DOGEUSDT,2025-08-09 17:00:00+00:00,4,1,4,4976,1444,872,1.375
ADAUSDT,2025-08-09 17:30:00+00:00,3,5,3,2538,1784,360,15.725
SOLUSDT,2025-08-09 18:15:00+00:00,3,3,4,2325,1221,537,43.7
ADAUSDT,2025-08-09 18:30:00+00:00,2,3,2,1007,521,226,28.9875
BTCUSDT,2025-08-09 18:30:00+00:00,4,4,4,3749,2016,727,2.3625
SOLUSDT,2025-08-09 19:00:00+00:00,3,4,4,2815,1590,594,97.675
DOGEUSDT,2025-08-09 19:15:00+00:00,4,1,3,4103,1158,666,1.375
XRPUSDT,2025-08-09 22:45:00+00:00,4,4,4,7154,3840,1089,14.8625
AVAXUSDT,2025-08-09 23:30:00+00:00,3,5,2,1905,1663,133,11.7
DOGEUSDT,2025-08-10 03:45:00+00:00,4,2,4,3497,1332,663,44.2
ADAUSDT,2025-08-10 05:15:00+00:00,4,5,3,3577,2397,588,4.225
ADAUSDT,2025-08-10 07:30:00+00:00,4,5,4,6273,3923,1109,4.225
ADAUSDT,2025-08-10 08:00:00+00:00,4,4,3,3998,2258,850,6.0125
ADAUSDT,2025-08-10 09:45:00+00:00,1,3,1,718,354,171,39.4875
BTCUSDT,2025-08-10 10:45:00+00:00,4,2,4,4774,1560,620,104.35
ETHUSDT,2025-08-10 14:00:00+00:00,5,1,5,19810,3869,1441,232.8125
DOGEUSDT,2025-08-10 17:15:00+00:00,3,1,2,1771,501,319,1.0
BTCUSDT,2025-08-10 17:45:00+00:00,3,4,3,3348,1812,542,1.6125
DOGEUSDT,2025-08-10 17:45:00+00:00,2,1,2,1297,369,224,1.0
XRPUSDT,2025-08-10 18:15:00+00:00,2,3,2,1503,687,297,75.6375
BTCUSDT,2025-08-10 18:45:00+00:00,3,3,4,3317,1578,519,11.4125
DOGEUSDT,2025-08-10 20:45:00+00:00,2,1,2,1211,338,212,1.0
ADAUSDT,2025-08-11 00:30:00+00:00,2,3,2,1197,608,279,28.9875
ADAUSDT,2025-08-11 01:00:00+00:00,1,2,1,714,311,172,2.95
BTCUSDT,2025-08-11 01:00:00+00:00,4,1,5,6934,1860,737,46.3875
DOGEUSDT,2025-08-11 01:00:00+00:00,3,1,2,2286,635,409,1.0
DOGEUSDT,2025-08-11 02:00:00+00:00,4,2,5,7213,2437,1256,44.2
ADAUSDT,2025-08-11 02:30:00+00:00,3,4,3,2168,1281,481,18.4375
XRPUSDT,2025-08-11 02:30:00+00:00,4,3,5,5960,2932,1057,32.2375
SOLUSDT,2025-08-11 03:15:00+00:00,4,4,5,4702,2653,983,52.7875
BTCUSDT,2025-08-11 06:15:00+00:00,5,3,5,8707,4211,1119,3.325
BTCUSDT,2025-08-11 07:45:00+00:00,5,3,5,14166,6790,1817,3.325
XRPUSDT,2025-08-11 07:45:00+00:00,4,4,4,6090,3276,994,14.8625
AVAXUSDT,2025-08-11 08:00:00+00:00,3,5,2,1758,1451,194,11.7
ETHUSDT,2025-08-11 08:00:00+00:00,5,2,5,25679,8056,1922,22.9625
BTCUSDT,2025-08-11 08:15:00+00:00,5,3,5,8300,4015,1072,3.325
ADAUSDT,2025-08-11 09:15:00+00:00,2,3,2,857,439,201,28.9875
SOLUSDT,2025-08-11 10:15:00+00:00,4,4,4,4056,2372,870,52.7875
SOLUSDT,2025-08-11 10:45:00+00:00,3,4,4,3388,1953,678,97.675
SOLUSDT,2025-08-11 12:00:00+00:00,4,4,4,4731,2580,1078,52.7875
AVAXUSDT,2025-08-11 12:30:00+00:00,3,5,3,2097,1545,337,11.7
AVAXUSDT,2025-08-11 13:00:00+00:00,2,5,2,1099,788,203,51.5625
XRPUSDT,2025-08-11 13:00:00+00:00,5,2,5,10398,4426,1587,11.6125
DOGEUSDT,2025-08-11 14:15:00+00:00,4,1,3,4581,1290,795,1.375
DOGEUSDT,2025-08-11 14:30:00+00:00,4,2,4,6595,2750,1057,44.2
ADAUSDT,2025-08-11 15:15:00+00:00,2,2,2,1089,478,258,3.1375
ADAUSDT,2025-08-11 16:00:00+00:00,3,3,3,2930,1467,664,10.725
ETHUSDT,2025-08-11 16:15:00+00:00,5,1,5,30689,4579,1889,232.8125
ADAUSDT,2025-08-11 17:00:00+00:00,2,2,2,1052,467,239,3.1375
DOGEUSDT,2025-08-11 17:00:00+00:00,3,1,2,2697,681,459,1.0
SOLUSDT,2025-08-11 17:15:00+00:00,3,3,3,3366,1665,773,43.7
DOGEUSDT,2025-08-11 17:30:00+00:00,3,1,2,2686,680,444,1.0
DOGEUSDT,2025-08-11 17:45:00+00:00,3,1,2,2254,632,404,1.0
DOGEUSDT,2025-08-11 18:15:00+00:00,3,1,3,3145,859,535,1.0
DOGEUSDT,2025-08-11 18:30:00+00:00,3,1,3,2897,834,502,1.0
ADAUSDT,2025-08-11 19:00:00+00:00,1,2,1,588,260,156,2.95
DOGEUSDT,2025-08-11 19:00:00+00:00,3,1,2,1883,484,331,1.0
DOGEUSDT,2025-08-11 20:15:00+00:00,3,1,2,2502,686,393,1.0
DOGEUSDT,2025-08-11 20:30:00+00:00,2,1,2,1654,445,278,1.0
ADAUSDT,2025-08-11 21:15:00+00:00,2,5,2,1176,763,223,40.525
DOGEUSDT,2025-08-11 21:15:00+00:00,2,1,2,1722,497,328,1.0
BTCUSDT,2025-08-11 22:00:00+00:00,5,2,5,9629,2908,979,57.2
DOGEUSDT,2025-08-11 22:30:00+00:00,3,1,3,2858,819,492,1.0
DOGEUSDT,2025-08-12 00:30:00+00:00,3,2,2,1997,749,407,69.6875
AVAXUSDT,2025-08-12 01:15:00+00:00,1,4,1,218,134,48,15.825
BTCUSDT,2025-08-12 03:15:00+00:00,4,2,5,5219,1545,707,104.35
ETHUSDT,2025-08-12 04:30:00+00:00,5,1,5,15537,2831,1117,232.8125
XRPUSDT,2025-08-12 05:45:00+00:00,3,2,3,1853,807,359,48.225
BTCUSDT,2025-08-12 07:30:00+00:00,4,4,5,6795,3677,1145,2.3625
XRPUSDT,2025-08-12 07:30:00+00:00,3,4,3,3094,1784,574,28.8375
SOLUSDT,2025-08-12 11:00:00+00:00,3,4,3,2540,1391,560,97.675
DOGEUSDT,2025-08-12 12:00:00+00:00,3,2,3,2701,1061,623,69.6875
AVAXUSDT,2025-08-12 12:45:00+00:00,3,5,3,1933,1422,311,11.7
ADAUSDT,2025-08-12 14:00:00+00:00,3,4,3,2038,1121,457,18.4375
XRPUSDT,2025-08-12 15:15:00+00:00,4,2,4,4001,1701,762,29.925
AVAXUSDT,2025-08-12 16:00:00+00:00,2,5,2,1152,810,230,51.5625
ADAUSDT,2025-08-12 16:30:00+00:00,4,5,4,3827,2741,590,4.225
DOGEUSDT,2025-08-12 16:45:00+00:00,4,2,4,4675,1897,928,44.2
ADAUSDT,2025-08-12 17:00:00+00:00,4,5,4,4431,2907,828,4.225
ADAUSDT,2025-08-12 17:30:00+00:00,4,5,3,3953,2646,764,4.225
SOLUSDT,2025-08-12 20:15:00+00:00,5,4,5,8619,4811,1892,14.5375
ADAUSDT,2025-08-12 22:30:00+00:00,3,5,3,2486,1812,320,15.725
SOLUSDT,2025-08-13 01:15:00+00:00,5,4,5,8837,5146,1790,14.5375
DOGEUSDT,2025-08-13 01:45:00+00:00,3,2,3,2959,1115,545,69.6875
XRPUSDT,2025-08-13 02:00:00+00:00,4,4,4,4775,2804,781,14.8625
XRPUSDT,2025-08-13 02:15:00+00:00,3,4,4,2922,1742,502,28.8375
ETHUSDT,2025-08-13 02:45:00+00:00,5,1,5,17245,2669,1163,232.8125
ADAUSDT,2025-08-13 04:00:00+00:00,3,4,4,2916,1757,573,18.4375
BTCUSDT,2025-08-13 05:15:00+00:00,4,2,5,5729,2318,672,104.35
BTCUSDT,2025-08-13 07:15:00+00:00,4,3,4,3732,1711,628,14.5875
XRPUSDT,2025-08-13 08:15:00+00:00,4,3,5,7122,3711,1127,32.2375
BTCUSDT,2025-08-13 09:00:00+00:00,5,3,5,8239,3743,1018,3.325
AVAXUSDT,2025-08-13 09:15:00+00:00,2,5,2,1549,1192,225,51.5625
XRPUSDT,2025-08-13 09:15:00+00:00,4,3,4,4893,2361,848,32.2375
DOGEUSDT,2025-08-13 09:30:00+00:00,4,2,4,7410,3301,1345,44.2
ADAUSDT,2025-08-13 12:45:00+00:00,3,4,3,2340,1448,442,18.4375
ADAUSDT,2025-08-13 13:45:00+00:00,4,4,4,5426,3017,1174,6.0125
DOGEUSDT,2025-08-13 17:15:00+00:00,4,2,3,3983,1457,832,44.2
SOLUSDT,2025-08-13 17:15:00+00:00,4,3,5,4110,2175,902,26.9375
DOGEUSDT,2025-08-13 17:30:00+00:00,4,2,3,3646,1310,753,44.2
DOGEUSDT,2025-08-13 21:15:00+00:00,3,1,2,2326,655,411,1.0
XRPUSDT,2025-08-13 21:45:00+00:00,4,4,4,3757,2150,608,14.8625
DOGEUSDT,2025-08-13 22:00:00+00:00,3,1,3,2555,739,473,1.0
ADAUSDT,2025-08-13 23:00:00+00:00,5,4,5,10489,6090,2096,1.275
ADAUSDT,2025-08-13 23:45:00+00:00,3,5,3,2870,1946,463,15.725
ADAUSDT,2025-08-14 00:00:00+00:00,5,4,5,10254,5623,2175,1.275
XRPUSDT,2025-08-14 00:30:00+00:00,5,4,5,10230,6073,1532,4.1125
ADAUSDT,2025-08-14 01:30:00+00:00,5,4,5,13061,7099,2632,1.275
XRPUSDT,2025-08-14 02:00:00+00:00,5,3,5,7619,3919,1363,12.4625
ADAUSDT,2025-08-14 03:45:00+00:00,4,4,4,5178,3079,1015,6.0125
BTCUSDT,2025-08-14 04:00:00+00:00,5,3,5,9073,4158,1176,3.325
SOLUSDT,2025-08-14 04:45:00+00:00,5,5,5,10658,6952,1719,8.275
DOGEUSDT,2025-08-14 05:00:00+00:00,4,3,4,7047,3234,1254,16.275
SOLUSDT,2025-08-14 05:00:00+00:00,5,4,5,12157,7510,2017,14.5375
ADAUSDT,2025-08-14 05:15:00+00:00,5,4,5,8452,4728,1511,1.275
SOLUSDT,2025-08-14 05:45:00+00:00,5,5,5,10699,6643,1918,8.275
ADAUSDT,2025-08-14 06:00:00+00:00,5,4,5,14564,8489,2686,1.275
XRPUSDT,2025-08-14 06:00:00+00:00,5,4,5,12663,6915,2009,4.1125
ADAUSDT,2025-08-14 06:15:00+00:00,5,5,5,9464,6063,1593,1.0
ADAUSDT,2025-08-14 06:30:00+00:00,5,5,5,9386,5909,1557,1.0
DOGEUSDT,2025-08-14 06:45:00+00:00,4,3,4,5143,2333,1066,16.275
ADAUSDT,2025-08-14 07:00:00+00:00,5,3,5,8269,4371,1798,1.0
SOLUSDT,2025-08-14 07:00:00+00:00,5,4,5,7877,4394,1671,14.5375
ADAUSDT,2025-08-14 07:30:00+00:00,4,4,5,6618,3780,1336,6.0125
DOGEUSDT,2025-08-14 07:30:00+00:00,5,4,4,9379,5630,1342,1.0
SOLUSDT,2025-08-14 07:45:00+00:00,5,4,5,7714,4726,1445,14.5375
ADAUSDT,2025-08-14 08:00:00+00:00,4,4,4,7000,3901,1490,6.0125
SOLUSDT,2025-08-14 08:00:00+00:00,5,4,5,12067,7009,2229,14.5375
ADAUSDT,2025-08-14 08:15:00+00:00,5,3,5,7829,3588,1617,1.0
ADAUSDT,2025-08-14 08:30:00+00:00,5,4,5,8039,4454,1673,1.275
DOGEUSDT,2025-08-14 08:30:00+00:00,5,4,4,9635,5363,1383,1.0
DOGEUSDT,2025-08-14 08:45:00+00:00,5,4,4,9061,5479,1257,1.0
ADAUSDT,2025-08-14 09:15:00+00:00,3,3,4,3430,1808,734,10.725
SOLUSDT,2025-08-14 10:00:00+00:00,4,4,4,5921,3403,1298,52.7875
XRPUSDT,2025-08-14 10:00:00+00:00,4,4,4,3479,2010,598,14.8625
ADAUSDT,2025-08-14 10:30:00+00:00,5,4,5,8811,5152,1681,1.275
ETHUSDT,2025-08-14 10:30:00+00:00,5,2,5,41361,12112,3178,22.9625
XRPUSDT,2025-08-14 10:30:00+00:00,5,5,5,11546,7437,1546,1.5875
ADAUSDT,2025-08-14 10:45:00+00:00,4,4,5,7039,4013,1437,6.0125
SOLUSDT,2025-08-14 11:15:00+00:00,5,5,5,7740,4838,1481,8.275
XRPUSDT,2025-08-14 11:30:00+00:00,4,4,4,4291,2405,770,14.8625
ADAUSDT,2025-08-14 12:00:00+00:00,4,3,4,3479,1829,815,3.025
ADAUSDT,2025-08-14 12:30:00+00:00,5,2,5,75010,28756,13147,1.0
AVAXUSDT,2025-08-14 12:30:00+00:00,5,5,5,18782,12939,3182,1.0
DOGEUSDT,2025-08-14 12:30:00+00:00,5,1,5,95714,25158,12560,1.0
SOLUSDT,2025-08-14 12:30:00+00:00,5,2,5,114836,47306,18674,1.0
ADAUSDT,2025-08-14 12:45:00+00:00,5,3,5,17797,8968,3688,1.0
XRPUSDT,2025-08-14 12:45:00+00:00,5,2,5,26536,10896,4248,11.6125
ADAUSDT,2025-08-14 13:00:00+00:00,5,3,5,28170,13461,5606,1.0
AVAXUSDT,2025-08-14 13:00:00+00:00,4,5,4,5609,4185,932,3.15
SOLUSDT,2025-08-14 13:00:00+00:00,5,2,5,59497,26380,10914,1.0
ADAUSDT,2025-08-14 13:15:00+00:00,5,3,5,13003,6130,2701,1.0
ADAUSDT,2025-08-14 13:30:00+00:00,5,3,5,10584,5368,2252,1.0
DOGEUSDT,2025-08-14 13:30:00+00:00,5,2,5,14428,4515,2564,17.275
ADAUSDT,2025-08-14 13:45:00+00:00,5,3,5,8894,4694,1882,1.0
ADAUSDT,2025-08-14 14:15:00+00:00,4,3,4,5004,2491,1117,3.025
SOLUSDT,2025-08-14 14:15:00+00:00,5,4,5,9667,5192,2057,14.5375
ADAUSDT,2025-08-14 14:30:00+00:00,5,4,5,9125,5210,1912,1.275
XRPUSDT,2025-08-14 14:30:00+00:00,5,4,5,14432,7904,2527,4.1125
ADAUSDT,2025-08-14 14:45:00+00:00,4,4,4,5995,3397,1240,6.0125
XRPUSDT,2025-08-14 14:45:00+00:00,5,4,4,12173,7173,1943,4.1125
ADAUSDT,2025-08-14 15:15:00+00:00,5,4,5,8369,5061,1525,1.275
ADAUSDT,2025-08-14 16:00:00+00:00,5,4,4,8261,4546,1694,1.275
SOLUSDT,2025-08-14 16:00:00+00:00,5,4,5,11894,6689,2312,14.5375
XRPUSDT,2025-08-14 16:15:00+00:00,5,3,5,10114,4933,1762,12.4625
ADAUSDT,2025-08-14 16:30:00+00:00,4,3,4,6461,3429,1282,3.025
DOGEUSDT,2025-08-14 16:30:00+00:00,5,3,4,8016,3924,1285,3.625
ADAUSDT,2025-08-14 16:45:00+00:00,4,3,3,3779,1864,867,3.025
DOGEUSDT,2025-08-14 17:00:00+00:00,5,3,4,8794,4189,1451,3.625
SOLUSDT,2025-08-14 17:00:00+00:00,5,3,5,8401,4378,1765,8.2125
DOGEUSDT,2025-08-14 17:15:00+00:00,4,3,4,6580,3100,1194,16.275
ADAUSDT,2025-08-14 17:45:00+00:00,3,3,3,2471,1278,541,10.725
DOGEUSDT,2025-08-14 19:30:00+00:00,4,5,3,6005,3809,874,1.6
XRPUSDT,2025-08-14 19:30:00+00:00,3,4,3,3465,2066,605,28.8375
DOGEUSDT,2025-08-14 19:45:00+00:00,4,4,3,4874,2740,755,3.7875
XRPUSDT,2025-08-14 20:15:00+00:00,4,3,3,3480,1762,609,32.2375
DOGEUSDT,2025-08-14 20:45:00+00:00,4,4,5,5819,3161,712,3.7875
ADAUSDT,2025-08-14 21:15:00+00:00,4,4,4,4666,2851,827,6.0125
SOLUSDT,2025-08-14 21:30:00+00:00,5,4,5,10356,5911,1963,14.5375
XRPUSDT,2025-08-14 21:30:00+00:00,5,3,5,9763,5036,1459,12.4625
AVAXUSDT,2025-08-14 21:45:00+00:00,1,5,1,688,467,120,225.225
BTCUSDT,2025-08-14 22:00:00+00:00,4,2,5,7467,2739,919,104.35
ADAUSDT,2025-08-14 23:00:00+00:00,5,5,5,11854,7812,1869,1.0
ADAUSDT,2025-08-14 23:15:00+00:00,5,5,5,13119,8921,1706,1.0
DOGEUSDT,2025-08-14 23:15:00+00:00,4,5,3,3586,2271,555,1.6
ADAUSDT,2025-08-14 23:30:00+00:00,5,5,4,8515,5647,1330,1.0
DOGEUSDT,2025-08-14 23:30:00+00:00,4,5,3,4056,2552,615,1.6
ADAUSDT,2025-08-14 23:45:00+00:00,3,3,3,2956,1547,586,10.725
DOGEUSDT,2025-08-14 23:45:00+00:00,4,5,3,4407,2972,591,1.6
ADAUSDT,2025-08-15 00:15:00+00:00,5,4,5,11691,6729,2055,1.275
ADAUSDT,2025-08-15 00:30:00+00:00,4,3,4,5393,2878,1072,3.025
XRPUSDT,2025-08-15 00:45:00+00:00,4,5,3,6331,4072,924,7.4375
ADAUSDT,2025-08-15 01:00:00+00:00,4,4,4,4521,2682,905,6.0125
DOGEUSDT,2025-08-15 01:15:00+00:00,4,5,4,6251,4264,833,1.6
DOGEUSDT,2025-08-15 01:30:00+00:00,5,5,4,7873,4921,1183,1.0
DOGEUSDT,2025-08-15 01:45:00+00:00,5,5,4,7996,5829,935,1.0
XRPUSDT,2025-08-15 01:45:00+00:00,5,5,4,7623,5743,706,1.5875
DOGEUSDT,2025-08-15 02:00:00+00:00,5,5,3,7711,5662,902,1.0
BTCUSDT,2025-08-15 02:15:00+00:00,5,4,5,10311,5922,940,1.4
DOGEUSDT,2025-08-15 02:15:00+00:00,4,5,3,6399,4346,873,1.6
XRPUSDT,2025-08-15 02:15:00+00:00,4,5,3,3943,2613,571,7.4375
DOGEUSDT,2025-08-15 02:30:00+00:00,4,5,3,6269,4123,993,1.6
XRPUSDT,2025-08-15 02:45:00+00:00,3,5,3,2929,1934,464,12.5625
DOGEUSDT,2025-08-15 03:00:00+00:00,4,5,3,5257,3262,830,1.6
XRPUSDT,2025-08-15 03:15:00+00:00,4,5,4,4149,2695,634,7.4375
DOGEUSDT,2025-08-15 03:30:00+00:00,5,5,4,8013,5023,1334,1.0
BTCUSDT,2025-08-15 03:45:00+00:00,4,4,5,5397,2907,648,2.3625
